No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
119,CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,25815.07,49.36,16.79,7.55,1.4,1.27,91.87,102.44,6.99%,345.59%,0.84,-65.90%,-3.14%,-18.95%,6.54%,44.37%,-38.73%,4.68%,622.65,621.47,0.39%,-24.78%,72.50%,-0.52%,4.73%,5.35,0.95%,2.49%,1.05%,0.74,,0.97,1.06,55.92%,11.91%,2.83%,-2.99%,1.07%,9.65%,9.51%,31.74%,15.65%,0.68,0.66,1.46%,1.47%,-0.83%,2.78%,10.22%,-4.54%,11.36%,-4.54%,40.85%,49.95,-0.72%,0.17%,1.9,5488.74,0.85,41.46,-0.55%,4687726,8/8/12 16:30
120,CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,USA,19239.85,20.65,16.23,1.03,2.84,4.71,8.2,27.37,,0.00%,3.12,19.99%,17.11%,29.79%,20.00%,33.86%,22.73%,20.87%,298.57,297.15,0.28%,16.76%,95.72%,0.08%,1.47%,1.61,18.22%,23.94%,22.57%,3.61,,0,0,42.24%,18.48%,14.22%,0.20%,14.07%,5.76%,-9.42%,14.11%,0.20%,1.23,1.47,1.73%,2.13%,5.64%,8.53%,-3.11%,-1.59%,19.51%,-17.38%,19.51%,62.7,-0.29%,0.81%,1.8,2714.17,0.86,64.44,0.51%,2324591,8/6/12 8:30
121,CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,USA,14445.3,40.45,24.22,2.47,6.05,4.92,11.13,22.8,,0.00%,1.91,28.40%,13.93%,13.90%,16.36%,14.23%,13.55%,15.90%,186.97,186.15,0.60%,-2.60%,95.31%,1.82%,1.36%,1.18,8.81%,12.91%,11.99%,1.65,1.65,0,0,85.91%,16.88%,15.11%,2.37%,-0.66%,-1.77%,5.36%,49.24%,27.24%,1.36,2.45,2.25%,3.55%,3.61%,-0.03%,4.38%,-9.80%,13.33%,-12.19%,51.37%,52.99,-0.18%,0.83%,2.2,2146.55,0.76,77.26,0.65%,1623567,7/25/12 16:30
122,CVC,Cablevision Systems Corporation,Services,CATV Systems,USA,4180.36,19.28,15.58,1.4,0.62,,6.14,36.89,3.89%,74.22%,0.8,21.89%,19.28%,15.17%,13.73%,2.83%,-1.86%,0.51%,271.1,209.47,1.54%,26.32%,89.81%,0.66%,5.18%,3.12,3.16%,,4.22%,0.81,,,,54.14%,15.44%,3.29%,-0.52%,6.57%,35.62%,5.69%,-2.47%,12.06%,1.47,0.44,2.07%,2.95%,1.34%,12.18%,12.64%,-9.75%,39.25%,-12.82%,44.62%,64.35,0.46%,0.00%,2.7,3478.29,0.67,15.42,0.46%,2341837,8/7/12 8:30
123,CVH,Coventry Health Care Inc.,Healthcare,Health Care Plans,USA,5618.1,12.76,12.72,1.7,0.42,1.25,3.32,8.95,1.19%,7.45%,3.29,24.53%,19.13%,1.30%,7.50%,9.52%,-56.70%,15.98%,133.86,132.6,0.88%,47.62%,94.36%,-3.31%,4.28%,2.48,5.30%,10.38%,7.25%,1.29,,0.35,0.35,22.16%,5.73%,3.54%,29.86%,31.94%,41.98%,28.66%,43.54%,39.25%,1.79,1.23,2.61%,2.40%,26.83%,28.61%,32.64%,-0.76%,39.30%,-0.76%,64.02%,82.92,0.10%,-0.26%,2.5,2290.27,3.94,41.97,-0.17%,9018726,7/27/12 8:30
124,CVS,CVS Caremark Corporation,Services,Drug Stores,USA,57995.73,16.12,12.1,1.27,0.5,1.53,31.73,14.26,1.42%,19.99%,2.83,4.23%,12.20%,10.14%,12.69%,19.57%,25.90%,16.28%,1271,1267.76,0.13%,4.42%,86.82%,-1.61%,1.12%,1.77,5.66%,9.75%,6.99%,1.47,0.68,0.24,0.25,18.28%,5.71%,3.18%,3.42%,1.83%,1.88%,5.19%,43.72%,13.11%,0.74,0.85,1.40%,1.86%,1.72%,-0.25%,5.71%,-5.98%,4.54%,-5.98%,44.03%,53.96,-0.28%,-0.11%,1.9,8032.11,0.76,45.63,-0.39%,6077830,8/7/12 8:30
125,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,219720.44,8.34,9.13,2.24,0.89,1.69,10.24,41.02,3.21%,24.49%,13.43,41.78%,-3.39%,11.50%,3.73%,3.84%,-4.81%,-9.20%,1962.14,1961.81,0.01%,103.93%,64.30%,-0.72%,1.12%,3.3,12.70%,21.68%,15.23%,1.72,1.5,0.08,0.08,33.23%,19.27%,10.79%,-0.39%,4.57%,13.65%,5.95%,23.98%,7.86%,0.8,1.57,1.07%,1.35%,1.55%,5.49%,8.31%,-1.42%,14.98%,-1.42%,33.45%,64.77,-0.78%,0.30%,2,6637.36,0.68,111.98,-0.48%,4535242,7/27/12 8:30
126,D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,30746.7,22.61,15.69,4.19,2.28,2.54,189.79,,3.92%,85.55%,2.38,-51.20%,7.86%,2.41%,5.40%,-3.60%,-18.77%,-7.15%,571.5,567.91,0.27%,1.98%,55.46%,-2.81%,0.60%,1.57,3.09%,11.55%,3.58%,0.69,0.51,1.4,1.7,32.71%,20.03%,10.27%,0.56%,0.56%,3.58%,8.80%,16.10%,3.46%,0.46,0.62,0.94%,1.31%,-0.27%,-0.14%,5.02%,-3.27%,2.81%,-3.27%,18.73%,48.74,-0.48%,-0.11%,2.9,2158.34,0.6,53.8,-0.59%,1296530,8/1/12 8:30
127,DD,E. I. du Pont de Nemours and Company,Basic Materials,Chemicals - Major Diversified,USA,46890.65,13.66,10.91,1.74,1.15,4.43,13.19,35.34,3.41%,44.54%,3.69,12.30%,9.74%,1.73%,7.86%,5.96%,-3.09%,7.53%,930.37,929.72,0.15%,10.27%,65.19%,0.95%,2.63%,4.82,7.21%,31.53%,9.50%,1.62,1.13,1.07,1.42,26.98%,11.22%,8.66%,0.52%,4.35%,4.63%,-0.06%,18.92%,12.85%,1.46,0.8,1.03%,1.67%,1.70%,2.77%,3.29%,-2.44%,10.14%,-5.06%,40.46%,57.67,-0.38%,0.06%,2.5,5071.82,0.68,50.4,-0.32%,3440630,7/24/12 8:30
128,DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,30884.51,10.38,9.32,1.07,0.88,4.18,9.09,,2.37%,22.88%,7.48,52.34%,6.79%,16.55%,9.68%,7.65%,17.11%,14.55%,397.74,397.41,0.07%,7.74%,69.88%,-3.12%,2.47%,2.4,6.08%,40.83%,9.47%,,,2.86,4.22,25.54%,13.35%,8.73%,-3.09%,3.33%,4.26%,-6.88%,13.49%,1.57%,1.52,1.94,2.03%,2.30%,0.44%,0.83%,-1.19%,-5.83%,7.94%,-12.42%,31.79%,52.06,-0.67%,0.36%,2.3,4097.51,1.11,77.65,-0.31%,4532784,8/15/12
129,DELL,Dell Inc.,Technology,Personal Computers,USA,21667.93,7.05,6.17,1.26,0.35,2.32,1.58,5.11,,0.00%,1.75,39.82%,4.71%,10.63%,5.61%,1.57%,-27.16%,-3.96%,1755.91,1509.85,0.31%,-2.33%,70.65%,-0.70%,2.92%,2.17,7.66%,35.90%,14.42%,1.35,1.28,0.62,0.96,21.87%,6.58%,5.18%,1.23%,4.58%,-18.17%,-28.05%,-11.98%,-15.65%,1.41,0.3,2.46%,2.34%,2.66%,1.66%,-17.42%,-3.06%,8.34%,-32.79%,8.34%,54.89,-2.22%,0.48%,2.3,20309.7,1.37,12.34,-1.75%,27888608,8/21/12 16:30
130,DF,Dean Foods Company,Consumer Goods,Dairy Products,USA,2959.38,,12.06,,0.23,,49.02,14.36,0.62%,,-7.94,-1920.99%,8.13%,-4.89%,19.00%,5.27%,214.86%,-5.25%,184.5,179.67,2.60%,5.96%,85.82%,8.07%,3.91%,1.43,-21.96%,-192.33%,-27.99%,1.13,0.79,,,23.77%,-12.43%,-11.26%,-2.61%,27.10%,10.47%,30.41%,101.25%,43.21%,0.75,0.6,1.82%,3.21%,13.07%,6.86%,27.44%,-8.34%,37.56%,-8.34%,104.85%,59.93,-1.60%,0.62%,2.8,4917.27,0.8,16.04,-0.99%,3932688,8/8/12 8:30
131,DFS,Discover Financial Services,Financial,Credit Services,USA,19051.67,8.58,9.27,0.8,2.92,2.15,3.73,7.33,1.08%,7.51%,4.31,233.36%,-5.00%,11.33%,10.67%,23.49%,-7.58%,5.23%,514.91,512.75,0.63%,-2.99%,88.45%,-2.68%,1.24%,1.37,3.44%,28.07%,,,,2.14,2.14,,51.41%,31.96%,0.79%,7.25%,14.73%,25.21%,61.15%,55.07%,1.43,0.69,1.75%,1.90%,1.75%,5.73%,21.84%,-2.68%,16.06%,-2.68%,74.77%,58.81,-0.96%,0.51%,1.9,4629.67,0.51,37,-0.46%,2338126,9/17/12
132,DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,USA,9620.25,13.9,12.19,1.21,1.26,2.4,55.37,11.43,1.12%,13.93%,4.36,-27.79%,8.99%,-1.35%,11.48%,3.68%,8.47%,0.19%,158.75,158.16,0.54%,22.95%,92.47%,-0.26%,3.11%,4.43,7.82%,18.73%,9.53%,1.12,1.05,0.85,0.96,42.16%,16.80%,9.65%,2.07%,5.39%,5.78%,6.47%,33.10%,5.28%,0.63,0.93,1.27%,1.35%,2.56%,2.66%,4.75%,-5.28%,10.74%,-5.28%,35.71%,59.81,-0.30%,-0.03%,2.9,1110.84,0.47,60.6,-0.33%,518912,7/19/12 8:30
133,DHI,DR Horton Inc.,Industrial Goods,Residential Construction,USA,5827.23,7.33,19.84,0.73,1.42,1.67,6.44,,0.82%,5.34%,2.49,-70.70%,-66.80%,-43.46%,10.00%,-24.73%,2332.29%,15.09%,319.3,279.36,8.91%,-0.18%,91.72%,1.85%,13.07%,4.93,14.67%,29.34%,17.80%,,,0.56,0.6,19.10%,4.31%,21.67%,-0.44%,-4.10%,10.21%,31.58%,105.98%,45.77%,1.05,0.67,3.41%,3.94%,0.87%,3.04%,21.25%,-5.48%,22.07%,-5.48%,129.65%,52.85,-0.87%,0.00%,2.6,7408.76,0.62,18.25,-0.87%,4589006,7/27/12 8:30
134,DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,USA,37201.76,17.37,14.78,1.18,2.06,2.03,33.27,14.02,0.19%,3.14%,3.08,9.49%,11.73%,10.01%,14.68%,11.19%,32.49%,25.24%,695.36,584.23,0.36%,15.18%,77.37%,-0.11%,2.21%,4.21,7.02%,12.64%,8.11%,1.64,1.18,0.26,0.27,50.47%,16.28%,12.20%,-0.15%,5.31%,2.73%,0.83%,32.23%,13.83%,0.95,0.82,1.01%,1.35%,1.03%,3.05%,3.90%,-0.93%,8.78%,-5.18%,36.19%,56.7,-0.83%,0.33%,1.8,3067.08,0.66,53.5,-0.50%,2026779,7/19/12 6:00
135,DIS,Walt Disney Co.,Services,Entertainment - Diversified,USA,89068.06,16.44,14.26,1.26,2.12,2.25,20.36,19.01,1.21%,19.91%,3.02,23.78%,12.99%,9.47%,13.01%,3.92%,30.90%,3.87%,1794.28,1654.42,0.10%,-1.10%,66.91%,0.27%,2.76%,5.09,8.24%,14.00%,10.19%,1.33,1.19,0.31,0.38,20.77%,21.59%,14.39%,-0.10%,3.46%,11.83%,20.28%,57.64%,32.37%,1.17,0.74,1.03%,1.34%,0.00%,2.36%,16.91%,-1.99%,8.91%,-1.99%,79.03%,52.37,-1.53%,-0.08%,2.2,8960.36,0.83,49.64,-1.61%,7423350,8/7/12 16:30
136,DISCA,"Discovery Communications, Inc.",Services,CATV Systems,USA,13447.47,18.98,15.61,1.04,3.01,2.1,7.92,13.41,,0.00%,2.78,90.50%,21.58%,72.02%,18.29%,121.18%,23.17%,7.03%,254.88,242.37,1.25%,-31.88%,,-0.51%,2.97%,4.89,8.85%,16.76%,9.37%,4.25,,0.8,0.81,68.84%,39.89%,24.43%,-0.70%,7.11%,6.54%,19.23%,45.42%,28.78%,1,1.05,1.23%,2.15%,1.22%,1.73%,10.84%,-4.26%,8.58%,-4.68%,47.99%,52.06,0.48%,0.21%,2.6,1471.34,1.09,52.76,0.69%,1604221,7/31/12 7:00
137,DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,11203.67,21.56,16.83,1.26,1.61,7.31,29.5,25.57,,0.00%,2.24,29.80%,14.34%,26.72%,17.12%,10.81%,32.84%,10.52%,231.96,225.35,0.92%,-2.73%,44.92%,-2.50%,2.02%,2.07,21.20%,33.93%,27.05%,2.28,0.74,0.16,0.17,35.83%,12.04%,7.57%,-4.58%,-4.64%,-1.55%,10.58%,48.71%,16.22%,0.33,1.58,7.10%,3.20%,-4.64%,-7.73%,3.20%,-14.99%,25.78%,-14.99%,50.94%,34.21,-0.72%,-0.04%,2.3,2204.97,1.01,48.3,-0.76%,2234249,8/16/12 8:30
138,DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,USA,3699.91,14.62,11.02,1.47,2.15,,31.2,18.21,1.84%,26.29%,5.64,5.85%,8.56%,7.54%,9.95%,3.58%,2.30%,-7.89%,44.88,44.7,0.77%,13.09%,98.24%,0.09%,9.78%,6.54,15.29%,,42.23%,0.46,,,,66.54%,23.74%,15.79%,3.20%,17.87%,21.13%,2.21%,33.96%,11.30%,0.66,2.49,2.64%,3.81%,8.23%,14.19%,10.50%,-3.90%,23.86%,-4.17%,43.14%,67.74,-0.43%,0.32%,3.1,668.77,0.56,82.44,-0.12%,376035,8/8/12 16:30
139,DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,6161.4,9.84,12.12,0.53,2.52,1.2,219.19,,,0.00%,1.6,98.00%,-4.41%,11.82%,18.56%,25.85%,-15.51%,0.06%,391.2,383.49,0.83%,0.62%,92.06%,1.05%,2.28%,1.29,6.45%,13.34%,6.88%,0.8,,0.57,0.58,77.79%,42.83%,26.78%,2.14%,6.06%,1.29%,-19.81%,12.26%,4.30%,1.53,0.55,2.21%,3.59%,1.80%,5.64%,-6.46%,-3.49%,19.95%,-26.30%,54.41%,56.15,-0.57%,0.19%,1.9,6780.96,0.62,15.75,-0.38%,4219981,8/2/12 8:30
140,DO,Diamond Offshore Drilling Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,9392.87,11.3,12.56,0.71,3,2.1,6.95,39.26,0.74%,58.47%,5.98,0.76%,21.44%,6.22%,16.00%,10.11%,-24.42%,-17.01%,139.03,139,0.02%,56.16%,97.82%,-0.03%,7.79%,7.75,12.05%,19.30%,12.75%,5.21,5.08,0.33,0.33,47.18%,34.82%,26.55%,-0.10%,5.63%,14.59%,3.62%,21.80%,27.21%,0.97,1.21,1.13%,1.65%,1.14%,8.11%,9.77%,-1.83%,22.61%,-4.78%,39.17%,60.37,-0.56%,-0.99%,2.7,1396.89,0.93,67.56,-1.54%,1292602,7/19/12 8:30
141,DOV,Dover Corp.,Industrial Goods,Diversified Machinery,USA,10506.09,12.83,10.68,1.37,1.26,2.06,13.37,17.36,2.44%,27.58%,4.48,22.71%,13.50%,9.10%,9.37%,4.37%,-9.11%,8.10%,182.81,181.07,0.46%,-6.66%,87.01%,-1.74%,1.80%,2.05,8.73%,16.80%,10.05%,2.54,1.81,0.43,0.43,37.82%,14.92%,10.07%,0.84%,10.03%,1.75%,-11.79%,15.10%,0.02%,1.36,1.16,1.48%,1.88%,3.92%,6.09%,-0.93%,-1.66%,14.32%,-13.59%,33.89%,62.57,-0.93%,0.36%,2.2,1591.31,1.09,57.47,-0.57%,1735104,7/18/12 7:00
142,DOW,The Dow Chemical Company,Conglomerates,Conglomerates,USA,36218.86,19.25,11.03,2.85,0.62,1.57,8.77,80.13,4.23%,67.76%,1.57,18.91%,36.32%,-11.73%,6.75%,4.08%,-34.60%,-9.55%,1198.11,1196.2,0.28%,4.35%,71.62%,2.52%,2.17%,2.69,3.27%,9.34%,4.08%,1.84,1.17,0.79,0.89,14.70%,5.36%,3.84%,1.85%,-0.66%,0.20%,-8.64%,22.44%,6.97%,2.32,0.53,1.31%,1.76%,1.93%,-1.47%,-2.20%,-10.45%,5.51%,-15.35%,50.57%,50.54,0.00%,0.17%,2.8,9660.68,0.74,30.23,0.17%,7182150,7/26/12 8:30
143,DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,9542.13,16.24,14.07,2.08,1.6,4.16,31.49,,3.00%,46.68%,2.79,25.88%,8.78%,6.39%,7.80%,4.66%,8.87%,2.47%,210.55,209.97,0.29%,84.70%,96.70%,-1.55%,5.01%,6.38,6.62%,25.91%,8.09%,0.8,0.68,0.88,1.19,57.39%,17.14%,10.05%,0.78%,4.18%,11.65%,18.55%,30.83%,16.74%,0.72,0.58,0.81%,1.41%,0.60%,3.04%,14.07%,-1.16%,8.24%,-1.16%,34.19%,58.76,-0.29%,0.04%,2.6,1649.08,0.73,45.32,-0.24%,1198303,7/26/12 8:30
144,DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,6857.94,14.81,12.16,1.24,0.86,3.72,97.28,,3.76%,47.13%,3.59,4.85%,13.80%,7.14%,11.96%,7.52%,16.03%,3.78%,129.03,128.52,0.68%,10.03%,89.14%,3.30%,8.03%,5.89,8.35%,25.23%,11.42%,0.43,0.2,0.82,1.15,22.95%,7.98%,5.96%,-0.47%,6.51%,2.45%,8.01%,20.88%,19.90%,0.85,0.93,1.23%,1.67%,1.69%,4.07%,9.48%,-1.74%,10.18%,-3.90%,35.66%,58.76,-0.52%,-0.06%,2.2,1751.81,0.69,53.15,-0.58%,1211796,6/22/12
145,DTE,DTE Energy Co.,Utilities,Electric Utilities,USA,10280.96,16.05,14.97,3.61,1.18,1.44,55.57,1285.12,4.14%,62.83%,3.73,12.19%,4.70%,13.86%,4.44%,1.75%,-28.15%,-0.15%,171.75,170.85,0.27%,-6.08%,58.29%,0.40%,0.59%,1.2,2.55%,9.12%,2.83%,1.16,0.89,1.01,1.13,,15.51%,7.43%,-0.25%,-0.52%,7.66%,12.37%,32.35%,12.22%,0.58,0.73,0.83%,1.23%,-1.25%,0.09%,9.14%,-4.32%,4.17%,-4.32%,32.68%,45.4,-1.22%,0.25%,3,845.12,0.75,59.86,-0.98%,636684,7/27/12 8:30
146,DTV,"DIRECTV, Inc.",Services,CATV Systems,USA,32334.28,13.31,9.81,1.01,1.13,,15.17,13.6,,0.00%,3.87,39.85%,23.82%,25.41%,13.24%,13.03%,18.77%,9.45%,627.85,627.23,0.06%,15.30%,86.64%,-4.22%,2.47%,3.04,13.92%,,18.28%,1.11,1.04,,,48.36%,17.14%,9.45%,-0.79%,8.97%,11.02%,14.32%,23.32%,20.44%,0.86,0.86,1.06%,1.80%,2.72%,6.35%,10.26%,-1.72%,20.13%,-1.72%,29.33%,62.06,-0.12%,0.16%,2.3,5097.36,0.63,51.5,0.04%,3203527,8/2/12 8:30
147,DUK,Duke Energy Corporation,Utilities,Electric Utilities,USA,87499.77,19.66,14.91,5.57,6.02,1.31,49.72,,4.63%,89.73%,3.36,28.10%,7.79%,7.07%,3.53%,6.49%,1.92%,1.22%,1324.55,703.44,0.12%,1.92%,25.99%,39.37%,0.78%,1.03,2.45%,6.65%,2.69%,1.06,0.77,0.82,0.95,40.34%,17.64%,10.35%,-2.03%,1.99%,2.87%,7.64%,25.73%,3.61%,0.33,0.71,0.71%,1.12%,-1.12%,-1.40%,4.69%,-6.08%,3.54%,-6.08%,26.77%,40.86,-0.45%,-0.12%,2.9,5333.41,0.87,66.06,-0.57%,4633172,8/2/12 7:00
148,DV,"DeVry, Inc.",Services,Education & Training Services,USA,1324.01,6.67,9.28,0.92,0.62,0.96,3.99,10.78,1.48%,8.78%,3.03,20.79%,14.74%,50.43%,7.24%,21.05%,-24.46%,-3.90%,65.48,58.55,1.55%,3.05%,88.34%,6.23%,13.59%,6.66,10.02%,15.27%,13.91%,1.2,,0,0,55.03%,14.02%,9.84%,3.32%,-26.63%,-27.21%,-44.39%,-48.76%,-47.12%,0.57,0.9,2.35%,4.29%,2.90%,-19.49%,-37.25%,-36.42%,11.40%,-56.47%,11.40%,39.44,1.30%,0.15%,2.5,1194.72,1.12,20.22,1.46%,1339700,8/9/12 16:30
149,DVA,"DaVita, Inc.",Healthcare,Specialized Health Services,USA,9082.55,17.52,13.93,1.42,1.22,3.81,32.2,13.28,,0.00%,5.48,26.92%,16.78%,12.79%,12.30%,7.42%,-2.88%,16.16%,94.6,94.21,0.43%,17.30%,98.63%,4.67%,2.43%,2.47,7.18%,24.56%,8.93%,1.76,1.7,1.85,1.89,31.25%,16.31%,8.39%,-1.90%,0.93%,19.64%,11.74%,38.56%,26.65%,0.5,1.62,1.25%,1.75%,-1.51%,0.13%,12.60%,-4.49%,13.41%,-4.49%,62.34%,45.56,-2.01%,-0.01%,2.1,924.23,0.91,96.01,-2.02%,844909,8/1/12 16:30
150,DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,24334.72,10.09,12.18,1.56,2.18,1.1,3.45,,1.33%,12.38%,5.96,-3.63%,40.74%,-2.77%,6.47%,3.24%,167.73%,-20.53%,404.5,378.06,0.16%,-7.17%,76.54%,-1.83%,1.79%,1.8,5.98%,11.11%,6.76%,1.86,1.81,0.38,0.48,79.37%,33.00%,22.00%,2.40%,3.10%,-2.04%,-19.02%,-3.34%,-2.35%,1.16,1.25,1.25%,2.15%,3.10%,4.73%,-5.72%,-1.72%,11.39%,-20.92%,19.62%,59.94,0.94%,0.57%,2,3751.23,0.96,60.16,1.52%,3616078,8/1/12 8:30
151,EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,4317.37,71.37,10.85,3.98,1.05,1.69,3,31.75,,0.00%,0.19,127.04%,17.92%,-1.16%,17.92%,6.03%,-4.22%,-4.40%,318.39,305.12,0.51%,47.11%,90.26%,-3.54%,3.47%,1.9,1.22%,2.11%,1.69%,1.46,1.42,0.21,0.21,61.87%,0.56%,1.37%,6.69%,14.72%,-4.91%,-20.84%,-30.82%,-34.17%,1.25,0.48,3.46%,3.99%,9.97%,11.15%,-18.00%,-5.77%,25.91%,-48.11%,25.91%,63.83,-0.59%,0.59%,2.3,5569.32,0.95,13.56,0.00%,5297784,7/31/12 16:30
152,EBAY,eBay Inc.,Services,Catalog & Mail Order Houses,USA,59085.52,16.09,16.79,1.23,4.54,3.12,10.3,30.84,,0.00%,2.85,81.29%,16.17%,25.51%,13.08%,14.31%,145.64%,23.12%,1288.67,1155.21,10.33%,0.34%,83.24%,0.28%,1.29%,1.18,14.06%,21.25%,18.59%,1.95,,0.08,0.11,69.86%,20.26%,28.66%,1.08%,3.64%,16.90%,32.25%,67.58%,51.17%,1.48,1.24,2.18%,2.40%,2.33%,7.35%,24.72%,-2.59%,20.47%,-2.59%,69.06%,57.05,-1.21%,0.02%,2.1,12656.83,0.73,45.85,-1.19%,9227044,7/18/12 16:30
153,ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,USA,19258.86,36.99,18.7,2.43,2.06,3.43,63.16,,1.22%,45.24%,1.78,-14.41%,17.73%,5.91%,15.20%,6.79%,16.03%,74.16%,292.51,291.54,0.39%,-0.09%,86.54%,-1.27%,0.96%,1.83,4.30%,11.99%,5.64%,1.13,0.82,0.87,1.12,45.89%,9.58%,5.03%,1.62%,-1.16%,1.87%,6.97%,45.34%,14.60%,0.7,1.08,1.43%,1.75%,0.61%,-0.98%,7.26%,-4.52%,6.78%,-4.52%,47.46%,50.27,-0.75%,0.32%,1.9,1529.61,0.42,65.84,-0.44%,641146,7/31/12 8:30
154,ED,Consolidated Edison Inc.,Utilities,Electric Utilities,USA,17979.9,17.01,15.95,5.28,1.44,1.43,13.02,339.24,3.94%,66.54%,3.61,2.89%,2.39%,3.84%,3.22%,1.58%,29.65%,-7.42%,292.88,292.68,0.23%,-75.03%,43.05%,1.20%,2.50%,4.93,2.82%,9.32%,3.10%,0.94,0.86,0.85,1.03,32.46%,18.09%,8.62%,-2.86%,-2.49%,4.99%,8.21%,17.11%,1.98%,0.23,0.66,1.07%,1.09%,-2.98%,-1.72%,4.42%,-6.07%,1.72%,-6.07%,17.93%,34.72,-0.84%,-0.08%,3.4,1484.34,0.74,61.39,-0.92%,1105751,8/1/12
155,EFX,Equifax Inc.,Financial,Credit Services,USA,5605.85,19.99,14.66,1.72,2.72,3.11,30.62,17.82,1.54%,28.87%,2.34,0.61%,9.62%,-2.48%,11.60%,4.85%,124.69%,10.00%,119.86,118.74,0.92%,-5.97%,90.50%,-1.23%,1.21%,1.5,8.45%,16.02%,9.29%,1.76,,0.53,0.54,61.72%,24.73%,14.39%,2.32%,-3.23%,4.35%,10.88%,63.30%,21.73%,1.02,0.83,1.21%,1.94%,0.43%,-0.39%,9.94%,-5.50%,4.03%,-5.50%,64.89%,51.18,-0.06%,0.02%,2.5,958.8,0.69,46.77,-0.04%,661581,7/25/12 16:30
156,EIX,Edison International,Utilities,Electric Utilities,USA,14417.09,,16.57,,1.12,1.23,12.27,,2.94%,,-0.76,-102.74%,5.53%,-11.36%,2.38%,0.95%,-59.05%,2.48%,325.81,325.36,0.02%,44.29%,79.74%,0.89%,0.74%,1.26,-0.34%,-2.37%,-0.38%,1.05,0.92,1.17,1.24,28.38%,0.51%,-1.29%,-2.27%,-3.05%,-1.43%,6.86%,29.20%,7.69%,0.59,0.6,0.96%,1.37%,-2.24%,-2.97%,3.99%,-5.73%,0.18%,-5.73%,29.68%,40.59,0.14%,-1.43%,1.8,1906.72,0.8,44.25,-1.29%,1516073,7/31/12 16:30
157,EL,Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,23463.74,27.94,20.53,2.07,2.42,8.55,17.41,,0.87%,23.81%,2.16,23.94%,14.84%,14.86%,13.53%,6.66%,26.41%,9.25%,388.73,230.97,0.11%,-8.55%,94.54%,-0.66%,3.11%,2.99,13.38%,31.87%,19.60%,1.81,1.35,0.39,0.47,79.45%,13.50%,8.86%,0.38%,15.06%,10.37%,7.02%,37.75%,7.48%,1.32,1.62,1.96%,2.52%,9.06%,10.96%,5.46%,-2.27%,21.18%,-7.99%,49.51%,66.67,-0.40%,0.02%,2.2,2397.07,0.67,60.36,-0.38%,1603425,8/14/12 8:30
158,EMC,EMC Corporation,Technology,Data Storage Devices,USA,54860.54,21.6,13.27,1.54,2.62,2.62,9.7,10.4,,0.00%,1.21,24.72%,14.53%,15.37%,14.07%,12.39%,22.51%,9.62%,2098.72,2093.62,0.44%,-3.55%,82.24%,-0.53%,1.98%,2.08,8.41%,13.66%,12.20%,1.19,1.08,0,0.08,62.26%,18.23%,13.50%,1.67%,5.40%,2.15%,-3.44%,26.71%,21.36%,1.14,0.68,1.77%,2.19%,-0.66%,3.86%,2.32%,-3.51%,14.70%,-12.87%,30.77%,51.32,-1.91%,0.26%,1.7,19954.56,0.65,26.14,-1.66%,12963983,7/24/12 7:00
