No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
11,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,28450.36,20.63,18.18,2.15,2.67,4.65,18.02,,2.72%,54.40%,2.82,12.08%,9.22%,9.01%,9.58%,6.46%,9.04%,5.17%,489.09,488.31,0.11%,-11.51%,74.80%,-1.67%,1.13%,2.72,4.27%,22.90%,18.48%,1.08,,0,0,38.65%,19.90%,13.02%,0.67%,4.77%,10.67%,9.73%,28.38%,9.32%,0.7,0.7,0.92%,1.16%,1.92%,4.01%,8.19%,-0.85%,9.65%,-0.85%,32.71%,61.39,-0.19%,-0.14%,2.5,2024.29,0.7,58.17,-0.33%,1415281,8/1/12 8:30
12,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,7951.08,27.46,14.66,1.74,3.49,3.89,5.26,14.91,,0.00%,1.26,35.09%,16.83%,0.53%,15.79%,3.79%,15.31%,11.41%,229.8,229.37,0.44%,18.80%,93.55%,-1.78%,2.48%,2.31,9.48%,15.54%,13.04%,2.18,,0,0,89.75%,16.30%,12.96%,1.29%,8.84%,6.69%,-8.37%,42.45%,14.08%,2.12,0.94,2.61%,2.50%,1.09%,3.75%,-1.85%,-2.64%,14.87%,-18.95%,44.17%,53.14,1.38%,0.50%,2.3,2462.44,1.17,34.6,1.88%,2890061,8/23/12 16:30
13,AEE,Ameren Corporation,Utilities,Diversified Utilities,USA,8128.11,69.79,17.27,,1.13,1.08,69.47,34.01,4.78%,325.73%,0.48,269.21%,-20.49%,-4.18%,-4.05%,1.78%,49.55%,-6.79%,242.63,242.35,0.09%,4.80%,60.17%,-2.50%,0.98%,1.59,0.52%,1.54%,0.56%,1.34,0.92,0.88,0.91,36.88%,8.92%,1.68%,-3.32%,0.00%,4.72%,7.86%,24.95%,3.65%,0.58,0.47,1.19%,1.51%,-1.93%,-0.59%,4.63%,-5.10%,2.67%,-5.10%,25.52%,42.33,-0.36%,-0.18%,3.3,1493.11,0.76,33.5,-0.53%,1138152,8/2/12 8:30
14,AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,20680.99,12.77,13.54,3.79,1.38,1.38,34.82,,4.41%,56.13%,3.34,28.71%,2.94%,5.37%,3.37%,3.67%,2.28%,-1.61%,484.9,484.53,0.08%,-4.90%,61.96%,-0.31%,1.36%,2.2,3.05%,11.15%,3.45%,0.7,0.47,1.02,1.23,31.12%,18.24%,10.61%,-1.66%,3.47%,13.31%,9.61%,20.72%,6.97%,0.49,0.54,1.01%,1.31%,0.80%,4.11%,10.04%,-2.98%,10.54%,-2.98%,24.72%,59.01,-1.04%,-0.02%,2.2,3002.66,0.73,42.65,-1.07%,2183822,7/20/12 8:30
15,AES,The AES Corporation,Utilities,Electric Utilities,USA,8684.28,20.02,9,2.24,0.5,1.42,3.33,23.73,1.38%,0.00%,0.58,-6.46%,4.03%,18.53%,8.95%,8.46%,-62.98%,-5.48%,748,746.89,0.11%,85.82%,93.04%,-1.46%,0.59%,0.78,2.91%,6.83%,3.89%,1.18,1.06,3.17,3.55,22.24%,11.25%,7.14%,-0.77%,-6.75%,-6.52%,-15.99%,14.16%,-1.94%,1.39,0.23,1.45%,2.09%,-2.12%,-5.46%,-6.53%,-10.28%,1.31%,-17.13%,29.00%,40.56,-0.43%,-0.09%,1.9,5603.8,0.62,11.61,-0.51%,3482193,8/6/12
16,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,13334.58,7.87,7.15,0.75,0.38,1.3,14.46,6.34,1.75%,12.93%,5.07,25.01%,9.84%,12.01%,10.46%,6.08%,-4.62%,5.88%,334.2,333.2,0.07%,-24.50%,94.37%,-0.80%,0.64%,0.46,4.72%,17.71%,,,,0.46,0.46,,8.85%,5.26%,7.93%,7.14%,-0.42%,-14.65%,15.12%,-4.27%,1.21,0.95,2.15%,2.32%,7.51%,3.65%,-5.54%,-7.74%,15.38%,-21.34%,21.30%,62.02,0.08%,-0.77%,2.2,4580.19,1.39,39.9,-0.70%,6370314,7/31/12 6:00
17,AFL,AFLAC Inc.,Financial,Accident & Health Insurance,USA,21779.24,8.52,6.76,0.81,0.9,1.54,10.22,1.66,2.84%,23.53%,5.46,-15.55%,5.52%,7.20%,10.55%,8.69%,76.71%,16.00%,468.27,453.98,0.42%,-5.30%,62.35%,-2.96%,1.44%,2.12,2.25%,19.96%,,,,0.26,0.26,,16.10%,10.61%,2.83%,10.48%,16.80%,0.52%,37.28%,9.87%,1.84,0.96,1.51%,2.39%,5.06%,8.71%,7.25%,-0.14%,19.10%,-5.57%,53.21%,71.11,0.32%,0.56%,2.3,3072.2,1.16,46.51,0.89%,3561925,7/24/12 16:30
18,AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,USA,26622.87,25.39,18.15,1.91,4.74,4.81,9.96,23.44,0.23%,5.77%,3.41,154390.80%,14.39%,12.99%,13.27%,12.09%,20.61%,5.24%,307.53,306.96,0.16%,57.68%,90.49%,-1.54%,1.07%,1.72,12.78%,20.28%,14.46%,4.42,4.15,0.28,0.29,86.11%,27.57%,18.84%,0.23%,2.11%,-3.70%,-0.75%,19.67%,-1.22%,0.8,1.7,1.43%,2.11%,1.47%,-2.39%,-2.60%,-9.59%,6.51%,-10.79%,19.97%,49.92,0.66%,0.41%,2,1912.24,1.11,86.57,1.07%,2115355,8/1/12 8:30
19,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,58993.02,3.02,9.81,0.21,0.9,0.56,47.88,11.31,,0.00%,11.31,-41.67%,-16.14%,-39.60%,14.68%,-10.74%,29.63%,2.66%,1728.48,272.98,0.01%,-28.82%,29.70%,28.22%,7.58%,1.71,3.73%,21.58%,,,,0.71,0.71,,7.37%,33.24%,0.92%,11.25%,16.37%,23.35%,56.63%,47.11%,3.43,0.87,2.30%,2.60%,5.68%,7.81%,20.05%,-2.49%,15.89%,-2.62%,77.95%,65.13,-1.78%,0.26%,2.3,12128.04,0.98,34.13,-1.53%,11900835,8/2/12 16:30
20,AIV,Apartment Investment & Management Co.,Financial,REIT - Residential,USA,3834.98,,,,3.5,3.31,12.25,,3.04%,,-1.57,8.40%,15.30%,74.46%,11.38%,-3.26%,15.30%,4.44%,145.54,144.31,0.39%,-1.73%,99.57%,14.11%,5.71%,4.71,-1.45%,-34.71%,-1.62%,,,4.44,4.44,59.83%,15.87%,-9.33%,2.01%,-2.52%,1.15%,9.29%,11.70%,17.53%,1.94,0.42,1.39%,1.64%,-0.37%,-1.77%,6.02%,-6.16%,3.25%,-6.16%,34.81%,48.26,0.23%,0.04%,2.7,1748.21,0.46,26.35,0.27%,811897,8/2/12 16:30
