No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
110,COP,ConocoPhillips,Basic Materials,Major Integrated Oil & Gas,USA,69338.66,11.02,10.25,8.29,1.07,1.51,66.42,,4.62%,49.73%,5.18,17.70%,1.46%,-1.48%,1.33%,5.91%,-14.80%,-14.16%,1214.55,1212.26,0.15%,-0.94%,70.70%,-1.21%,2.28%,2.63,4.99%,11.65%,6.06%,0.92,0.86,0.41,0.5,44.47%,23.96%,10.55%,4.46%,6.25%,7.90%,8.23%,24.71%,6.27%,1.14,1.01,1.24%,1.66%,3.48%,5.68%,6.69%,-0.16%,14.50%,-1.65%,33.78%,63.29,0.85%,-0.51%,2.8,10500.82,0.45,57.28,0.33%,4685455,7/25/12 8:00
111,COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,41232.27,26.64,21.53,1.97,0.43,3.28,6.9,27.92,1.15%,19.82%,3.58,12.92%,14.77%,7.47%,13.49%,8.13%,19.96%,8.25%,432.34,428.52,0.34%,-3.92%,78.25%,-0.24%,1.64%,3.35,6.00%,12.86%,11.43%,1.18,0.61,0.11,0.11,12.41%,2.70%,1.73%,-0.06%,1.21%,14.41%,13.52%,37.10%,15.50%,0.69,1.22,0.92%,1.22%,-0.14%,2.98%,10.21%,-2.23%,12.22%,-2.23%,37.34%,56.28,0.29%,-0.37%,2.5,2092.86,0.58,95.3,-0.07%,1214295,5/24/12
112,COV,Covidien plc,Healthcare,Medical Instruments & Supplies,Ireland,27263.29,14.53,12.62,1.38,2.29,2.59,,,1.59%,,3.89,22.17%,4.92%,5.66%,10.56%,6.84%,-12.40%,2.77%,482.28,481.63,0.17%,3.80%,89.71%,-2.45%,1.24%,1.97,,,,,,,,57.72%,20.61%,15.91%,2.56%,6.92%,3.72%,9.43%,28.77%,27.23%,0.84,1.08,1.20%,1.91%,5.42%,7.64%,13.23%,-0.57%,14.27%,-0.57%,40.78%,65.87,1.15%,-0.02%,1.7,3025.87,0.73,57.17,1.13%,2207194,7/26/12 8:30
113,CPB,Campbell Soup Co.,Consumer Goods,Processed & Packaged Goods,USA,10478.56,14.35,13.26,3.24,1.36,8.25,27.36,24.09,3.50%,50.81%,2.31,-0.02%,1.63%,6.83%,4.43%,2.29%,-3.37%,0.44%,316,176.18,0.22%,-40.84%,45.20%,0.58%,9.73%,8.02,11.17%,63.58%,15.62%,0.93,0.57,1.58,2.17,39.09%,15.30%,9.57%,2.13%,0.91%,-2.84%,5.20%,15.34%,1.50%,0.29,0.5,1.47%,1.42%,0.95%,2.82%,2.92%,-0.80%,7.28%,-2.83%,16.17%,59.8,0.66%,-0.21%,3.1,2137.68,0.41,33.31,0.45%,873446,9/4/12
114,CRM,Salesforce.com,Technology,Application Software,USA,19010.88,,69.23,,7.74,10.51,26.76,40.16,,,-0.23,-118.12%,33.56%,59.56%,27.67%,35.45%,-3849.20%,37.89%,138,126.49,0.66%,-6.18%,99.10%,1.48%,10.72%,4.93,-0.87%,-2.06%,-1.61%,0.79,,0.28,0.28,78.13%,-2.22%,-1.28%,13.50%,8.55%,1.71%,9.67%,7.43%,35.78%,1.42,5.38,3.98%,4.02%,7.54%,5.50%,5.70%,-2.78%,16.36%,-15.12%,48.62%,60.91,1.50%,0.01%,2.1,2751.54,0.97,139.84,1.51%,2655617,8/16/12
115,CSC,Computer Sciences Corporation,Technology,Information Technology Services,USA,4738.2,,11.3,,0.3,1.7,4.34,61.54,2.62%,,-27.37,-707.17%,33.66%,2.40%,8.75%,1.34%,-201.41%,-2.09%,155.3,152.14,0.31%,65.20%,89.04%,-0.15%,4.79%,4.22,-30.95%,-82.52%,-45.73%,1.08,,0.53,0.99,6.07%,-27.38%,-26.62%,26.34%,31.62%,13.93%,-6.01%,11.19%,30.61%,1.19,0.94,4.71%,2.96%,27.77%,27.56%,17.00%,2.05%,41.14%,-5.97%,41.14%,84.54,2.96%,-0.29%,3,1724.53,1.25,31.32,2.65%,2149216,8/8/12 8:30
116,CSCO,"Cisco Systems, Inc.",Technology,Networking & Communication Devices,USA,94816.78,13.11,9.22,1.48,2.08,1.86,1.96,10.84,1.81%,19.10%,1.35,-12.16%,4.35%,5.57%,8.87%,8.70%,21.59%,6.64%,5356.88,5351.4,0.11%,-3.60%,72.38%,-0.23%,1.08%,1.31,8.34%,14.93%,10.27%,3.57,3.49,0.32,0.32,61.42%,20.06%,16.14%,12.45%,8.06%,5.80%,-10.74%,30.92%,-0.95%,1.24,0.44,2.22%,2.47%,8.03%,6.32%,-4.17%,-1.41%,17.25%,-16.95%,30.02%,64.97,0.29%,-1.19%,2.2,44323.4,0.86,17.54,-0.90%,38270696,8/15/12 16:30
117,CSX,CSX Corp.,Services,Railroads,USA,23555.77,12.72,10.94,1.45,1.98,2.66,34.49,235.56,2.47%,27.75%,1.78,23.48%,12.50%,12.22%,8.75%,4.19%,7.59%,-0.23%,1039.99,1035.68,0.26%,-9.99%,68.71%,-0.40%,1.21%,1.7,6.46%,21.13%,7.07%,0.92,0.82,0.97,1.02,63.77%,29.58%,15.83%,0.22%,1.80%,5.15%,2.91%,7.70%,8.84%,1.26,0.45,1.34%,1.89%,1.78%,4.12%,6.22%,-1.16%,15.59%,-1.88%,32.25%,57.71,1.77%,-0.31%,2,7401.48,0.65,22.98,1.46%,4830103,7/17/12 16:30
118,CTAS,Cintas Corporation,Services,Apparel Stores,USA,5154.83,17.87,14.6,1.63,1.26,2.41,15.17,16.68,1.33%,23.69%,2.28,35.59%,10.71%,1.72%,10.99%,2.05%,23.10%,4.10%,126.53,89.02,1.21%,9.28%,75.34%,-0.78%,5.68%,6.47,6.99%,13.32%,8.04%,2.3,1.92,0.5,0.6,42.38%,13.16%,7.26%,2.05%,3.72%,5.68%,7.18%,52.30%,17.04%,0.92,0.69,1.34%,1.73%,4.45%,7.45%,12.41%,-0.51%,15.59%,-0.51%,57.98%,71.29,0.76%,-0.29%,2.7,781.2,0.46,40.93,0.47%,355486,7/16/12 16:30
119,CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,26427.55,44.31,17.65,7.34,1.45,1.28,17.27,58.79,6.82%,316.71%,0.96,-65.90%,-2.03%,-18.95%,6.04%,44.37%,-53.03%,171.82%,621.24,619.72,0.42%,-19.70%,73.07%,0.03%,4.59%,5.04,1.43%,3.72%,1.57%,0.87,,1,1.11,56.26%,12.18%,3.09%,2.09%,6.56%,9.64%,16.17%,37.67%,18.66%,0.68,0.69,1.58%,1.66%,3.31%,7.87%,14.72%,-1.50%,15.90%,-1.50%,45.33%,71.87,0.64%,-0.07%,1.9,5649.21,0.61,42.78,0.56%,3432417,8/8/12 16:30
120,CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,USA,19621.34,21.7,16.31,1.16,3.04,4.49,7.88,30.73,,0.00%,2.97,19.99%,17.21%,29.79%,18.73%,33.86%,17.94%,24.80%,304.49,303.2,0.31%,14.56%,93.71%,-0.02%,1.43%,1.46,17.83%,22.60%,21.67%,4.11,,0,0,42.10%,18.40%,14.22%,14.50%,14.01%,5.55%,-8.83%,5.93%,0.20%,1.22,1.89,2.44%,2.57%,10.65%,10.98%,-2.72%,-0.78%,20.49%,-16.71%,21.35%,69.16,1.20%,-0.37%,1.8,2964.3,0.55,64.97,0.82%,1623470,8/6/12 8:30
121,CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,USA,14066.66,39.55,23.68,2.42,5.89,5.06,10.84,22.2,,,1.91,28.40%,13.93%,13.90%,16.36%,14.23%,13.55%,15.90%,186.19,185.08,0.60%,55.78%,94.13%,0.21%,1.12%,0.95,8.81%,12.91%,11.99%,1.65,,0,0,85.91%,16.88%,15.11%,8.85%,0.49%,-3.57%,4.96%,27.47%,24.42%,1.36,3.07,3.08%,4.11%,1.07%,-0.94%,3.32%,-10.96%,11.87%,-13.33%,51.88%,52.45,1.45%,-0.50%,2.2,2173.38,1.22,76.26,0.94%,2652842,7/25/12 16:30
122,CVC,Cablevision Systems Corporation,Services,CATV Systems,USA,4269.83,19.44,15.14,1.31,0.64,,5.23,30.56,3.81%,73.60%,0.81,21.89%,23.81%,16.99%,14.80%,2.83%,-11.88%,0.22%,271.1,209.55,1.54%,26.32%,88.89%,-0.17%,5.71%,3.34,2.83%,,3.70%,0.86,,,,55.03%,16.23%,3.38%,5.14%,21.62%,27.63%,5.78%,-2.66%,13.31%,1.47,0.5,4.19%,3.33%,5.06%,16.50%,12.20%,-10.14%,44.05%,-16.10%,44.05%,67.9,1.64%,-3.17%,2.6,3583.39,0.95,15.5,-1.59%,3398647,8/7/12 8:30
123,CVH,Coventry Health Care Inc.,Healthcare,Health Care Plans,USA,4645.81,9.85,9.85,1.31,0.35,0.98,2.74,7.4,1.54%,7.61%,3.3,24.53%,19.13%,1.30%,7.50%,9.52%,-56.49%,15.98%,142.86,141.54,0.85%,67.65%,91.18%,-0.28%,3.89%,2.98,5.30%,10.41%,7.25%,1.29,,0.35,0.35,22.16%,5.73%,3.54%,2.17%,2.49%,9.27%,7.33%,15.77%,7.90%,1.78,0.87,1.89%,2.48%,0.55%,0.93%,2.88%,-6.40%,8.71%,-9.61%,26.82%,51.73,0.28%,-0.49%,2.5,1847.75,0.3,32.45,-0.22%,553075,7/27/12 8:30
124,CVS,CVS Caremark Corporation,Services,Drug Stores,USA,57693.13,16.86,12.1,1.41,0.51,1.53,26.03,13.99,1.44%,19.77%,2.67,4.23%,12.05%,10.14%,11.92%,19.57%,14.62%,19.86%,1281.5,1278.16,0.14%,9.12%,87.59%,0.02%,1.15%,1.79,5.52%,9.37%,6.84%,1.48,0.69,0.24,0.24,18.66%,5.73%,3.17%,0.24%,-3.68%,-1.75%,5.43%,42.47%,11.60%,0.74,0.99,2.71%,2.09%,-1.33%,-1.57%,4.90%,-7.38%,4.16%,-7.38%,43.47%,46.26,0.25%,-0.40%,1.9,8190.85,0.92,44.95,-0.16%,7544042,8/7/12 8:30
125,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,220995.82,8.44,9.19,2.26,0.89,1.77,,,3.20%,,13.35,41.78%,-3.24%,11.50%,3.73%,3.84%,-6.75%,-9.20%,1962.14,1961.8,0.01%,84.73%,64.10%,-0.34%,1.09%,3.01,,,,,,,,33.23%,19.27%,10.79%,3.09%,7.42%,9.95%,7.66%,28.46%,7.63%,0.8,1.78,1.09%,1.55%,4.07%,8.27%,9.33%,0.24%,18.61%,0.24%,34.24%,71.85,1.42%,-0.59%,2,7111.83,0.72,113.55,0.82%,5100649,7/27/12 8:30
126,D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,30649.55,22.53,15.64,4.17,2.27,2.53,189.19,,3.93%,85.55%,2.38,-51.20%,7.86%,2.41%,5.40%,-3.60%,-18.77%,-7.15%,571.5,569.77,0.27%,4.75%,56.69%,-0.54%,0.69%,1.83,3.09%,11.55%,3.58%,0.69,0.51,1.4,1.7,32.71%,20.03%,10.27%,-0.33%,-0.76%,3.95%,9.79%,20.44%,3.13%,0.47,0.7,1.17%,1.31%,-0.62%,0.14%,5.16%,-3.42%,4.76%,-3.42%,21.85%,47.96,0.24%,-0.07%,2.9,2141.35,0.64,53.72,0.17%,1380615,8/1/12 8:30
127,DD,E. I. du Pont de Nemours and Company,Basic Materials,Chemicals - Major Diversified,USA,47020.9,13.7,10.94,1.74,1.16,4.44,13.22,35.43,3.40%,44.54%,3.69,12.30%,9.74%,1.73%,7.86%,5.96%,-3.09%,7.53%,930.37,929.72,0.15%,22.90%,64.21%,-0.43%,2.69%,4.79,7.21%,31.53%,9.50%,1.62,1.13,1.07,1.42,26.98%,11.22%,8.66%,3.10%,7.21%,-2.04%,-1.33%,16.67%,12.21%,1.46,1,1.37%,1.92%,3.95%,4.08%,4.15%,-1.96%,10.68%,-4.59%,41.16%,64.34,1.51%,-0.44%,2.5,5229.68,0.91,51.08,1.07%,4744288,7/24/12 8:30
128,DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,31294.18,10.9,9.14,1.13,0.93,4.24,10.36,,2.34%,23.16%,7.22,52.34%,4.87%,16.55%,9.68%,7.65%,23.07%,12.33%,397.74,397.39,0.07%,7.74%,70.43%,-2.19%,2.50%,2.58,6.07%,40.13%,9.54%,,,2.54,4.02,25.75%,13.43%,8.81%,2.97%,0.67%,0.25%,-9.47%,18.39%,2.92%,1.53,1.87,1.48%,2.47%,3.47%,4.11%,1.17%,-3.75%,14.88%,-10.48%,34.71%,61.08,1.12%,-0.24%,2.4,3849.3,1.53,79.37,0.88%,5893760,8/15/12
129,DELL,Dell Inc.,Technology,Personal Computers,USA,21755.73,7.08,6.13,1.15,0.35,2.33,1.59,5.13,,0.00%,1.75,39.82%,4.66%,10.63%,6.13%,1.57%,-27.16%,-3.96%,1755.91,1509.85,0.34%,39.16%,70.63%,-0.66%,3.44%,2.51,7.66%,35.90%,14.42%,1.35,1.28,0.62,0.96,21.87%,6.58%,5.18%,8.02%,0.90%,-20.32%,-31.40%,-9.23%,-15.31%,1.41,0.3,2.38%,2.32%,3.85%,2.43%,-17.62%,-2.51%,8.96%,-32.41%,8.96%,58.1,1.06%,-0.89%,2.3,20666.87,0.57,12.41,0.16%,11819327,8/21/12
130,DF,Dean Foods Company,Consumer Goods,Dairy Products,USA,3082.99,,12.76,,0.23,,23.66,35.96,0.60%,,-8.53,-1920.99%,12.93%,-9.82%,13.75%,5.27%,48.61%,5.39%,184.5,179.74,2.54%,4.69%,83.39%,4.81%,3.76%,1.33,-23.13%,-206.86%,-29.18%,1.21,0.87,,,23.11%,-13.50%,-11.96%,39.95%,11.47%,14.22%,57.05%,99.88%,49.20%,0.7,0.83,5.23%,4.16%,27.88%,11.61%,34.64%,-4.97%,42.62%,-4.97%,112.39%,67.77,1.90%,-2.33%,2.6,5079.35,1.2,16.63,-0.48%,6075992,8/8/12 8:30
131,DFS,Discover Financial Services,Financial,Credit Services,USA,18809.66,8.48,9.16,0.79,2.88,2.12,3.68,7.23,1.09%,7.51%,4.31,233.36%,-5.00%,11.33%,10.67%,23.49%,-7.58%,5.23%,514.91,512.75,0.63%,-2.99%,90.87%,0.17%,1.22%,1.29,3.44%,28.07%,,,,2.14,2.14,,51.41%,31.96%,3.57%,5.43%,9.37%,27.19%,69.12%,53.10%,1.43,0.74,1.70%,2.02%,3.39%,7.62%,23.27%,-1.02%,21.22%,-1.02%,74.02%,63.34,1.29%,-0.44%,1.9,4837.18,0.6,36.84,0.85%,2886285,6/19/12 8:30
132,DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,USA,9490.07,13.71,12.03,1.19,1.24,2.37,54.62,11.28,1.14%,13.93%,4.36,-27.79%,8.99%,-1.35%,11.48%,3.68%,8.47%,0.19%,158.75,158.14,0.53%,13.49%,91.89%,-0.89%,2.98%,4.14,7.82%,18.73%,9.53%,1.12,1.05,0.85,0.96,42.16%,16.80%,9.65%,2.73%,-1.65%,4.13%,4.18%,30.75%,3.86%,0.63,1.04,1.33%,1.84%,-0.30%,1.89%,3.05%,-7.05%,12.01%,-7.05%,33.18%,53.28,-0.18%,-0.33%,2.9,1138.85,0.54,59.47,-0.52%,609999,7/19/12 8:30
133,DHI,DR Horton Inc.,Industrial Goods,Residential Construction,USA,5903.86,7.43,20.1,0.74,1.43,1.69,6.52,,0.81%,5.34%,2.49,-70.70%,-64.62%,-43.46%,10.00%,-24.73%,2332.29%,15.09%,319.3,279.36,8.91%,-0.18%,86.38%,-4.08%,13.94%,4.93,14.67%,29.34%,17.80%,,,0.56,0.6,19.10%,4.31%,21.67%,5.60%,3.64%,9.54%,27.96%,103.41%,47.68%,1.05,0.73,3.63%,4.26%,-0.49%,4.66%,22.24%,-6.31%,26.15%,-6.31%,127.63%,54.43,-1.42%,-0.76%,2.6,7899.58,0.55,18.09,-2.16%,4352364,7/27/12 8:30
134,DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,USA,36840.17,17.2,14.6,1.17,2.04,2.01,32.94,13.88,0.19%,3.14%,3.08,9.49%,12.04%,10.01%,14.68%,11.19%,32.49%,25.24%,695.36,584.12,1.83%,3.67%,77.64%,0.27%,2.61%,4.82,7.02%,12.64%,8.11%,1.64,1.18,0.26,0.27,50.47%,16.28%,12.20%,0.28%,5.33%,-1.34%,1.38%,28.09%,12.72%,0.95,0.94,1.07%,1.81%,2.79%,3.80%,4.22%,-0.72%,8.74%,-5.21%,36.14%,60.57,1.44%,-0.49%,1.9,3162.45,0.52,53.48,0.94%,1658732,7/19/12 6:00
135,DIS,Walt Disney Co.,Services,Entertainment - Diversified,USA,89297,17.91,14.4,1.38,2.15,2.39,23.93,24.49,1.20%,21.28%,2.79,23.78%,14.90%,9.47%,13.01%,3.92%,29.08%,6.08%,1787.37,1647.56,0.10%,-2.19%,67.16%,0.37%,2.87%,5.05,7.76%,13.48%,9.70%,1.14,1.02,0.33,0.42,19.74%,20.55%,13.64%,2.00%,5.69%,10.34%,20.30%,61.06%,33.23%,1.17,0.82,1.49%,1.58%,1.03%,3.82%,18.46%,-1.97%,12.48%,-1.97%,79.06%,57.44,-0.50%,-0.12%,2.2,9375,0.79,49.65,-0.62%,7445483,8/7/12 16:30
136,DISCA,"Discovery Communications, Inc.",Services,CATV Systems,USA,15327.69,19.39,16,1.06,3.44,2.15,9.03,15.28,,0.00%,2.78,90.50%,21.22%,72.02%,18.29%,121.18%,23.17%,7.03%,284.32,242.37,1.25%,-32.11%,,-1.13%,2.92%,4.74,8.85%,16.76%,9.37%,4.25,,0.8,0.81,68.84%,39.89%,24.43%,7.28%,7.78%,6.16%,19.75%,49.09%,31.58%,1,1.34,2.28%,2.45%,6.96%,6.27%,15.55%,-0.96%,13.71%,-1.39%,53.10%,65.69,1.41%,-0.17%,2.7,1495.45,0.72,54.58,1.24%,1082435,7/31/12 7:00
137,DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,11983.05,24.37,18.52,1.41,1.76,8.1,31.34,29.41,,0.00%,2.12,29.80%,12.50%,26.72%,17.25%,10.81%,21.96%,11.49%,231.96,225.28,0.92%,-2.29%,45.22%,-1.17%,2.26%,2.32,20.83%,33.93%,28.67%,1.6,0.53,0,0.18,35.84%,11.87%,7.39%,2.01%,-0.27%,1.06%,18.90%,63.22%,24.30%,0.34,1.19,1.98%,2.04%,-1.61%,-3.60%,9.18%,-10.73%,2.21%,-10.73%,65.97%,44.87,-2.07%,0.25%,2.3,2195.03,0.91,50.72,-1.82%,2002856,8/16/12
138,DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,USA,3682.35,13.71,10.63,1.36,2.09,,31.29,17.18,1.98%,26.18%,5.61,5.85%,7.42%,7.54%,10.10%,3.58%,32.34%,-0.20%,47.86,47.68,0.72%,16.97%,93.01%,1.04%,9.52%,6.75,14.72%,,28.97%,0.71,,,,66.18%,23.32%,15.62%,5.24%,9.84%,18.01%,-2.25%,21.68%,3.87%,0.65,2.7,3.05%,3.55%,8.79%,12.76%,6.78%,-5.02%,25.31%,-8.15%,37.20%,65.24,2.98%,-0.27%,3.1,672.82,1.2,79.02,2.70%,804905,8/8/12 16:30
139,DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,6136.95,9.82,11.99,0.53,2.51,1.26,,,,,1.6,98.00%,-3.68%,11.82%,18.56%,25.85%,-15.51%,0.06%,390.64,382.96,0.83%,0.62%,91.02%,-0.22%,2.49%,1.36,,,,,,,,77.79%,42.83%,26.78%,6.15%,12.46%,-9.82%,-18.39%,7.24%,4.04%,1.53,0.68,3.75%,4.22%,3.98%,6.92%,-6.04%,-3.00%,20.56%,-25.92%,55.20%,56.75,1.60%,-0.83%,1.9,7006.61,0.81,15.83,0.76%,5668189,8/2/12 8:30
140,DO,Diamond Offshore Drilling Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,9513.82,11.44,12.67,2.13,3.04,2.12,7.04,39.77,0.73%,58.47%,5.98,0.76%,21.90%,6.22%,5.38%,10.11%,-24.42%,-17.01%,139.03,139,0.02%,56.16%,97.83%,-0.01%,7.96%,7.68,12.05%,19.30%,12.75%,5.21,5.08,0.33,0.33,47.18%,34.82%,26.55%,4.44%,13.35%,9.31%,12.18%,22.99%,28.85%,0.97,1.48,1.72%,2.14%,4.49%,11.56%,11.05%,-0.71%,23.68%,-3.95%,40.39%,67.11,0.35%,-0.76%,2.7,1439.71,0.92,68.15,-0.41%,1317737,7/19/12 8:30
141,DOV,Dover Corp.,Industrial Goods,Diversified Machinery,USA,10370.81,12.66,10.58,1.35,1.24,2.03,13.19,17.13,2.47%,27.58%,4.48,22.71%,13.08%,9.10%,9.37%,4.37%,-9.11%,8.10%,182.81,181.07,0.53%,-3.96%,84.57%,-4.49%,1.35%,1.49,8.73%,16.80%,10.05%,2.54,1.81,0.43,0.43,37.82%,14.92%,10.07%,5.90%,11.10%,-3.17%,-12.33%,12.47%,-1.27%,1.36,1.31,1.46%,2.41%,7.12%,6.45%,-0.97%,-0.35%,14.10%,-13.76%,33.63%,66.56,1.52%,-0.41%,2.2,1637.89,0.72,57.36,1.11%,1182504,7/18/12 7:00
142,DOW,The Dow Chemical Company,Conglomerates,Conglomerates,USA,35775.57,19.02,10.94,2.82,0.61,1.55,8.66,79.15,4.29%,67.76%,1.57,18.91%,35.82%,-11.73%,6.75%,4.08%,-34.60%,-9.55%,1198.11,1196.2,0.29%,10.85%,69.65%,-0.15%,2.32%,2.79,3.27%,9.34%,4.08%,1.84,1.17,0.79,0.89,14.70%,5.36%,3.84%,2.68%,-1.42%,-6.28%,-11.74%,10.06%,5.66%,2.33,0.64,1.35%,2.09%,-0.59%,-3.56%,-3.52%,-11.93%,3.77%,-16.75%,48.08%,45.8,0.00%,-0.44%,2.8,9942.68,0.7,29.73,-0.44%,6978033,7/26/12 8:30
143,DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,9476.86,16.13,13.98,2.07,1.59,4.13,31.28,,3.02%,46.68%,2.79,25.88%,8.78%,6.39%,7.80%,4.66%,8.87%,2.47%,210.55,209.97,0.29%,84.70%,98.64%,0.44%,5.38%,6.34,6.62%,25.91%,8.09%,0.8,0.68,0.88,1.19,57.39%,17.14%,10.05%,-0.20%,3.16%,10.16%,20.03%,32.97%,15.95%,0.72,0.68,1.15%,1.60%,0.94%,3.71%,14.19%,-1.79%,12.07%,-1.79%,33.37%,56.47,0.29%,-0.24%,2.6,1781.55,0.48,45.03,0.04%,861944,7/26/12 8:30
144,DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,6852.78,14.79,12.18,1.24,0.86,3.72,97.2,,3.77%,47.13%,3.59,4.85%,13.54%,7.14%,11.96%,7.52%,16.03%,3.78%,129.03,128.52,0.69%,11.25%,88.81%,2.97%,7.77%,5.1,8.35%,25.23%,11.42%,0.43,0.2,0.82,1.15,22.95%,7.98%,5.96%,3.73%,5.42%,5.38%,9.46%,22.43%,19.81%,0.84,1.07,1.79%,1.94%,2.81%,4.62%,9.42%,-1.88%,10.27%,-4.44%,34.89%,60.99,0.11%,-0.60%,2.2,1958.13,0.75,52.85,-0.49%,1459614,6/22/12
145,DTE,DTE Energy Co.,Utilities,Electric Utilities,USA,10342.79,16.14,15.06,3.73,1.19,1.45,55.91,1292.85,4.12%,62.83%,3.73,12.19%,4.99%,13.86%,4.33%,1.75%,-28.15%,-0.15%,171.75,170.85,0.45%,26.11%,58.22%,0.40%,0.76%,1.51,2.55%,9.12%,2.83%,1.16,0.89,1.01,1.13,,15.51%,7.43%,-1.18%,1.91%,7.94%,13.28%,39.30%,12.90%,0.58,0.84,1.19%,1.34%,-0.27%,2.05%,11.06%,-3.28%,8.80%,-3.28%,40.94%,52.13,0.51%,-0.03%,3,859.72,0.7,60.51,0.48%,598544,7/27/12 8:30
146,DTV,"DIRECTV, Inc.",Services,CATV Systems,USA,33077.5,13.05,9.67,1.14,1.16,,15.51,13.91,,,3.87,39.85%,22.25%,25.41%,11.44%,13.03%,18.77%,9.45%,655,654.33,0.07%,21.14%,86.12%,-0.56%,2.68%,3.4,13.92%,,18.28%,1.11,1.04,,,48.36%,17.37%,9.45%,3.48%,4.88%,5.71%,10.84%,21.31%,18.10%,0.86,0.99,2.00%,1.81%,6.44%,9.99%,12.02%,2.80%,21.53%,2.80%,30.84%,70.01,3.54%,-0.36%,2.3,5151.24,1.19,52.1,3.17%,6125132,8/2/12 8:30
147,DUK,Duke Energy Corporation,Utilities,Electric Utilities,USA,90188.6,20.26,15.95,6.09,6.2,1.35,51.24,,4.49%,89.79%,3.36,28.10%,4.15%,7.07%,3.33%,6.49%,2.15%,1.22%,1324.55,702.68,0.12%,1.92%,12.43%,7.88%,0.94%,1.16,2.45%,6.65%,2.69%,1.06,0.77,0.82,0.95,40.34%,17.64%,10.35%,0.93%,2.42%,5.37%,8.25%,36.32%,5.60%,0.34,0.98,1.01%,1.26%,1.16%,0.11%,6.82%,-4.61%,5.16%,-4.61%,36.23%,53.39,-0.25%,-0.10%,2.9,5699.56,0.9,67.85,-0.35%,5151455,8/2/12 7:00
148,DV,"DeVry, Inc.",Services,Education & Training Services,USA,1301.09,6.56,9.16,1.41,0.61,0.94,3.92,10.59,1.51%,8.78%,3.03,20.79%,-31.76%,50.43%,4.64%,21.05%,-24.46%,-3.90%,65.48,58.55,1.55%,3.05%,82.35%,-0.92%,8.10%,4.24,10.02%,15.27%,13.91%,1.2,,0,0,55.03%,14.02%,9.84%,6.48%,-33.57%,-34.85%,-48.55%,-61.20%,-48.04%,0.57,1.06,4.33%,4.09%,-15.21%,-26.77%,-41.54%,-39.53%,5.95%,-64.17%,5.95%,28.09,0.52%,-3.72%,2.5,1117.9,2.45,19.23,-3.22%,2739595,8/9/12 16:30
149,DVA,"DaVita, Inc.",Healthcare,Specialized Health Services,USA,9050.32,17.57,13.95,1.4,1.21,3.83,32.09,13.23,,,5.48,26.92%,18.15%,12.79%,12.57%,7.42%,-2.79%,16.16%,94,93.7,0.59%,44.20%,94.60%,-0.26%,2.87%,2.72,7.18%,24.56%,8.93%,1.76,1.7,1.85,1.89,31.25%,16.31%,8.39%,-1.12%,-1.15%,14.39%,14.61%,35.85%,27.00%,0.5,1.81,2.02%,1.82%,-1.01%,3.06%,14.69%,-3.82%,20.83%,-3.82%,63.48%,51.96,0.52%,-0.10%,2.1,987.31,0.6,96.68,0.42%,596082,8/1/12 16:30
