No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
11,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,27951.49,20.27,17.86,2.12,2.62,4.57,17.71,,2.76%,54.40%,2.82,12.08%,8.84%,9.01%,9.58%,6.46%,9.04%,5.17%,489.09,488.33,0.11%,-11.51%,75.91%,-0.16%,1.31%,3.03,4.27%,22.90%,18.48%,1.08,,0,0,38.65%,19.90%,13.02%,2.51%,3.07%,7.57%,6.31%,31.44%,7.40%,0.7,0.78,0.83%,1.30%,2.11%,4.53%,7.67%,-0.66%,14.08%,-0.66%,32.76%,61.79,1.07%,-0.26%,2.5,2111.4,0.71,57.61,0.80%,1504069,8/1/12 8:30
12,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,8082.07,27.91,14.84,1.77,3.55,3.95,5.35,15.15,,0.00%,1.26,35.09%,17.33%,0.53%,15.80%,3.79%,15.31%,11.41%,229.8,229.37,0.44%,18.80%,96.79%,1.76%,2.62%,2.13,9.48%,15.54%,13.04%,2.18,,0,0,89.75%,16.30%,12.96%,4.11%,15.24%,-2.79%,-8.41%,24.89%,15.96%,2.12,1.01,1.70%,2.87%,4.94%,6.15%,-0.62%,-1.49%,16.51%,-17.99%,52.28%,60.4,-0.26%,-0.20%,2.3,2820.09,0.49,35.01,-0.45%,1387805,8/23/12 16:30
13,AEE,Ameren Corporation,Utilities,Diversified Utilities,USA,8353.75,70.27,17.93,,1.17,1.11,71.4,34.95,4.65%,325.73%,0.49,269.21%,-18.99%,-4.18%,-4.05%,1.78%,52.02%,-6.79%,242.63,242.32,0.09%,4.80%,61.05%,-0.80%,1.34%,2.23,0.52%,1.54%,0.56%,1.34,0.92,0.88,0.91,36.88%,8.92%,1.68%,2.26%,3.58%,6.13%,11.89%,36.95%,6.53%,0.58,0.54,1.72%,1.45%,2.12%,3.86%,8.82%,-1.70%,10.01%,-1.70%,39.29%,62.7,0.96%,-0.17%,3.3,1451.47,0.76,34.7,0.78%,1107677,8/2/12 8:30
14,AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,21030.11,12.99,13.86,3.39,1.41,1.4,35.4,,4.33%,56.13%,3.34,28.71%,2.62%,5.37%,3.83%,3.67%,2.28%,-1.61%,484.9,484.53,0.08%,-4.90%,61.29%,-1.29%,1.52%,2.41,3.05%,11.15%,3.45%,0.7,0.47,1.02,1.23,31.12%,18.24%,10.61%,4.89%,6.69%,14.34%,12.77%,32.67%,8.78%,0.49,0.63,1.65%,1.33%,4.57%,8.05%,12.97%,-0.93%,15.36%,-0.93%,33.65%,74.57,0.55%,-0.14%,2.3,3057.3,1.47,43.55,0.42%,4503919,7/20/12 8:30
15,AES,The AES Corporation,Utilities,Electric Utilities,USA,9025.68,16.11,8.84,1.76,0.51,1.39,2.63,22.07,,0.00%,0.73,-6.46%,5.56%,18.53%,9.13%,8.46%,49.42%,14.05%,767.49,766.44,0.11%,81.85%,91.64%,-0.40%,0.85%,1.12,3.64%,8.54%,5.03%,1.2,1.1,3.09,3.43,23.64%,13.41%,8.81%,-2.89%,-7.76%,-4.93%,-9.40%,21.49%,-0.68%,1.4,0.27,2.43%,2.12%,-3.35%,-4.54%,-5.02%,-8.96%,2.79%,-15.92%,30.89%,40.89,0.51%,-0.34%,1.8,5811.59,0.7,11.78,0.17%,4070027,8/6/12
16,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,12542.53,7.4,6.73,0.68,0.36,1.22,13.6,5.96,1.87%,12.93%,5.07,25.01%,10.06%,12.01%,10.94%,6.08%,-4.62%,5.88%,334.2,333.2,0.29%,106.57%,93.22%,-1.84%,0.93%,0.67,4.72%,17.71%,,,,0.46,0.46,,8.85%,5.26%,3.30%,-0.61%,-9.89%,-17.39%,8.78%,-9.96%,1.21,0.92,1.67%,2.49%,1.57%,-3.18%,-10.76%,-12.76%,9.11%,-25.61%,14.70%,50.51,0.91%,-0.37%,2.2,4645.6,0.48,37.73,0.53%,2250229,7/31/12 6:00
17,AFL,AFLAC Inc.,Financial,Accident & Health Insurance,USA,21370.69,8.37,6.64,0.75,0.89,1.5,,,2.89%,23.56%,5.46,-15.55%,5.52%,7.20%,11.13%,8.69%,76.73%,16.00%,467.63,453.36,0.51%,3.47%,64.35%,0.10%,1.58%,2.15,2.25%,19.93%,,,,0.26,0.26,,16.10%,10.61%,5.93%,6.38%,6.88%,-5.42%,32.39%,7.18%,1.84,1.14,1.92%,2.56%,5.01%,8.65%,5.21%,-2.26%,20.27%,-7.55%,49.97%,67.11,0.79%,-0.44%,2.2,3331.01,0.59,45.86,0.35%,1959301,7/24/12 16:30
18,AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,USA,26290.74,25.07,17.92,1.89,4.68,4.77,9.83,,0.23%,5.78%,3.41,154390.80%,14.39%,13.36%,13.27%,12.09%,20.61%,5.24%,307.53,306.94,0.14%,65.25%,91.82%,-0.05%,1.39%,2.2,12.78%,20.28%,14.46%,4.42,4.15,0.28,0.29,86.11%,27.57%,18.84%,0.71%,-4.41%,-7.86%,-2.05%,21.80%,-2.45%,0.8,2.11,1.32%,2.41%,-0.39%,-4.07%,-3.60%,-10.59%,5.33%,-11.78%,22.27%,45.34,0.42%,-0.28%,2,1937.46,0.69,85.61,0.14%,1334813,8/1/12 8:30
19,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,56192.88,2.87,9.73,0.19,0.86,0.54,45.61,10.77,,0.00%,11.31,-41.67%,-12.57%,-39.60%,14.95%,-10.74%,29.63%,2.66%,1728.48,272.99,0.01%,-28.82%,22.93%,2.85%,7.15%,1.51,3.73%,21.58%,,,,0.71,0.71,,7.37%,33.24%,5.42%,5.45%,1.15%,18.87%,46.84%,40.13%,3.43,0.85,2.37%,2.71%,3.72%,5.27%,15.95%,-0.28%,19.94%,-6.99%,69.97%,62.45,0.68%,-0.40%,2.3,12914.52,0.56,32.6,0.28%,7296322,8/2/12 16:30
20,AIV,Apartment Investment & Management Co.,Financial,REIT - Residential,USA,3168.45,,,,2.89,3.28,10.12,,3.06%,,-1.57,8.40%,14.10%,74.46%,11.28%,-3.26%,15.30%,4.44%,121.35,119.41,0.48%,-1.69%,,0.58%,7.60%,4.9,-1.45%,-34.71%,-1.62%,,,4.44,4.44,59.83%,15.87%,-9.33%,-2.86%,-3.97%,-5.36%,4.90%,14.67%,15.58%,1.95,0.51,1.85%,1.90%,-4.26%,-3.91%,4.23%,-7.99%,0.89%,-7.99%,32.19%,34.24,0.12%,-0.38%,2.6,1853.2,0.63,26.04,-0.27%,1161367,8/2/12 16:30
21,AIZ,Assurant Inc.,Financial,Accident & Health Insurance,USA,2937.53,7.83,6.33,0.76,0.47,0.59,2.65,4.85,2.32%,12.85%,4.63,120.50%,-9.21%,-0.17%,10.33%,0.50%,16.23%,3.22%,81.08,80.46,1.42%,22.31%,,-0.60%,5.24%,4.03,1.48%,8.09%,,,,0.19,0.19,,11.80%,6.35%,0.69%,5.44%,-2.97%,-15.27%,18.40%,-10.85%,1.32,0.76,1.63%,2.05%,1.94%,3.81%,-5.93%,-3.65%,10.61%,-18.67%,17.23%,57,-0.28%,-0.77%,3.2,1046.98,0.8,35.85,-1.05%,835351,7/25/12 16:30
22,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,6488.47,34.82,18.66,2.66,5.16,2.91,13.07,21.52,,,1.04,18.54%,11.49%,25.74%,13.07%,22.00%,-3.44%,19.61%,179.19,173.95,0.75%,28.74%,83.83%,1.11%,3.79%,2,7.83%,8.55%,8.35%,4.56,,0,0,67.70%,22.55%,15.11%,4.38%,23.29%,15.43%,-4.86%,70.48%,12.17%,0.87,1.09,1.69%,2.89%,9.38%,14.93%,11.54%,-1.24%,38.88%,-8.10%,97.10%,67.15,0.45%,-1.10%,2.1,3297.58,0.49,35.97,-0.66%,1615431,7/25/12 16:30
23,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,18451.59,9.21,8.77,1.06,0.56,0.96,32.31,10.51,2.31%,20.53%,4.13,-11.94%,6.63%,-28.09%,8.71%,-1.82%,171.81%,2.44%,484.93,484.42,0.05%,83.04%,76.77%,0.03%,2.28%,2.35,1.63%,10.87%,,,,0.31,0.31,,8.94%,6.27%,4.16%,11.62%,10.67%,24.75%,61.30%,40.72%,1.44,0.72,1.81%,1.77%,7.63%,9.73%,22.61%,-1.04%,15.79%,-1.04%,74.31%,72.64,0.03%,-0.21%,2.3,4704.22,0.51,37.98,-0.18%,2398187,7/31/12 16:30
24,ALTR,Altera Corp.,Technology,Semiconductor - Specialized,USA,11795.45,19.72,17.64,1.31,6.45,3.71,3.95,22.58,1.08%,16.85%,1.87,-5.67%,18.08%,21.74%,15.06%,9.94%,-23.13%,-15.24%,319.92,319.06,0.15%,37.16%,92.68%,-1.09%,1.82%,1.46,13.97%,20.24%,16.19%,6.17,5.92,0.16,0.16,69.39%,34.85%,33.38%,5.25%,17.57%,10.42%,-9.79%,6.65%,0.08%,1.15,1.13,2.58%,3.25%,9.84%,11.68%,2.74%,-0.32%,25.44%,-10.38%,25.44%,67.67,0.76%,-0.08%,2.3,3981.38,0.71,37.12,0.68%,2825305,7/24/12 16:30
25,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,20006.81,102.6,39.55,2.72,21.04,11.43,24.82,64.29,,0.00%,1.01,75.18%,39.36%,76.38%,37.72%,246.97%,1.24%,47.94%,193.06,190.41,1.37%,-8.95%,93.03%,1.25%,3.07%,2.76,10.75%,14.46%,12.71%,3.4,3.15,0.1,0.13,88.22%,31.05%,20.55%,1.30%,7.19%,20.19%,28.88%,112.62%,44.94%,0.59,3.23,2.95%,3.11%,0.85%,5.15%,23.14%,-5.95%,19.37%,-5.95%,118.69%,54.33,-0.06%,-0.14%,1.8,2117.88,0.29,103.42,-0.20%,622981,7/25/12 8:30
26,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,15239.53,11.77,12.26,1.27,1.57,1.75,7.02,10.45,3.03%,31.99%,1.01,108.26%,24.36%,8.37%,9.25%,2.79%,-39.44%,-11.22%,1281.71,1279.05,0.60%,25.45%,79.61%,-0.26%,1.07%,1,10.36%,15.85%,13.44%,2.37,1.78,0.22,0.22,39.52%,16.81%,13.80%,8.88%,12.49%,8.39%,-7.97%,8.78%,12.70%,1.21,0.29,2.29%,2.41%,9.76%,9.84%,4.57%,-0.42%,19.86%,-13.00%,25.89%,73.62,0.42%,0.08%,2.6,13668.68,0.57,11.95,0.50%,7783969,8/15/12 16:30
27,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,3092.04,,10.16,,0.48,2.78,1.96,9.09,,,-0.86,3.82%,43.33%,-22.75%,7.03%,3.14%,-40.30%,-10.23%,707.56,706.12,0.13%,50.83%,81.24%,0.91%,12.35%,4.91,-12.26%,-45.61%,-19.06%,1.37,1.02,1.37,1.81,34.39%,-4.61%,-9.86%,10.08%,-10.63%,-35.55%,-39.64%,-25.30%,-19.07%,2.22,0.21,5.05%,4.30%,0.94%,-15.39%,-30.23%,-29.32%,11.57%,-48.02%,11.57%,43.33,2.60%,-3.20%,2.6,17749.85,0.44,4.34,-0.69%,7833103,7/19/12 16:30
28,AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,63748.89,17.55,11.88,1.65,3.88,3.28,2.84,,1.76%,26.76%,4.67,-15.78%,9.00%,10.25%,10.65%,1.78%,28.88%,13.08%,777.71,776.79,0.14%,-1.80%,81.40%,-0.05%,1.56%,2.54,7.74%,17.11%,8.87%,3.68,3.36,1.14,1.27,83.49%,28.91%,23.34%,1.15%,7.73%,17.55%,23.93%,71.59%,29.01%,0.45,1.61,1.39%,2.03%,3.18%,10.20%,23.11%,-1.97%,22.36%,-1.97%,75.42%,65.78,0.98%,-0.05%,2.5,4769.27,0.59,82.73,0.93%,2828162,7/26/12 16:30
29,AMP,Ameriprise Financial Inc.,Financial,Asset Management,USA,11886.37,12.7,8.28,1.1,1.17,1.31,,,2.57%,,4.28,7.92%,17.32%,12.68%,11.50%,4.36%,-21.87%,-4.18%,218.62,218.17,0.30%,-2.96%,87.40%,-0.14%,0.88%,1.24,,,,,,,,71.70%,12.53%,8.91%,7.01%,8.50%,7.79%,1.84%,35.15%,11.55%,1.96,1.22,1.84%,2.18%,6.19%,8.98%,8.04%,-0.49%,21.49%,-5.88%,55.00%,66.64,0.63%,-0.39%,2.1,1541.28,0.5,54.5,0.24%,777533,7/25/12 16:30
30,AMT,American Tower Corporation,Technology,Diversified Communication Services,USA,27771.84,61.65,34.62,3.35,10.37,8.28,54.3,32.42,1.25%,67.10%,1.14,7.35%,27.67%,72.45%,18.39%,13.15%,-58.01%,16.83%,395.16,394.92,0.04%,14.49%,93.48%,0.10%,1.09%,1.61,3.55%,13.26%,3.95%,1.01,,2.19,2.22,74.68%,38.11%,15.71%,-2.65%,0.11%,4.38%,10.89%,49.34%,17.88%,0.58,1.45,1.36%,1.90%,-1.06%,1.86%,11.26%,-6.76%,13.10%,-6.76%,51.16%,49.99,0.30%,0.03%,1.9,2654.98,0.6,70.51,0.33%,1589539,8/1/12 7:00
31,AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,USA,105811.5,285.44,95.53,8.82,1.95,14.1,21.29,96.28,,0.00%,0.82,-45.82%,181.61%,25.02%,32.38%,35.03%,-96.32%,29.47%,452.07,363.58,19.56%,0.02%,66.05%,-0.33%,2.21%,2.34,1.68%,4.94%,3.29%,1.08,0.68,0,0,23.30%,1.17%,0.60%,1.41%,7.19%,3.25%,26.53%,20.57%,35.22%,0.92,5.16,1.33%,2.25%,2.24%,4.28%,14.97%,-3.32%,12.78%,-5.66%,39.40%,57,-0.14%,-0.42%,2,3431.27,0.54,232.75,-0.56%,1851903,7/26/12 16:30
32,AN,AutoNation Inc.,Services,Auto Dealerships,USA,4833.05,18.23,14.13,0.88,0.33,3.12,77.83,22.38,,0.00%,2.17,30.05%,12.90%,6.10%,20.65%,-5.36%,30.69%,17.03%,122.17,100.69,41.93%,-6.45%,83.70%,2.82%,8.43%,12.62,4.73%,16.09%,7.85%,1.06,0.3,1.31,1.75,12.78%,4.06%,1.99%,3.18%,0.79%,12.90%,7.41%,21.02%,7.30%,1.18,1.01,1.95%,2.60%,-0.07%,4.49%,10.34%,-9.47%,16.96%,-9.47%,29.94%,54.98,0.38%,-0.33%,3.2,672.27,0.4,39.58,0.05%,265809,7/19/12 8:30
33,ANF,Abercrombie & Fitch Co.,Services,Apparel Stores,USA,2658.11,27.29,9.85,1.46,0.63,1.57,7.39,,2.17%,57.31%,1.18,-15.29%,21.56%,-20.94%,18.74%,4.62%,-87.13%,10.10%,82.55,81.34,0.17%,39.87%,95.51%,-0.23%,8.54%,1.92,3.75%,5.86%,4.60%,2.04,1.09,0.04,0.04,60.14%,3.71%,2.49%,10.81%,-5.63%,-31.92%,-28.59%,-50.19%,-33.50%,1.65,1.69,3.93%,4.40%,-5.57%,-2.63%,-28.40%,-13.49%,11.77%,-58.17%,11.77%,46.83,0.25%,-0.84%,2.5,3614.26,0.59,32.01,-0.59%,2140113,8/15/12 8:30
34,ANR,"Alpha Natural Resources, Inc.",Basic Materials,Industrial Metals & Minerals,USA,1597.03,,,,0.2,0.22,2.71,70.38,,,-3.75,-570.99%,6.40%,39.25%,19.50%,37.05%,-132.43%,71.10%,220.28,219.22,0.71%,33.22%,79.35%,-0.87%,10.34%,1.42,-7.04%,-14.92%,-7.78%,1.47,1.1,0.39,0.4,14.16%,-8.69%,-9.56%,8.86%,-3.07%,-46.96%,-67.63%,-74.92%,-64.51%,1.73,0.69,11.17%,9.85%,8.46%,-7.66%,-54.65%,-32.32%,27.83%,-79.09%,27.83%,52.65,3.81%,-2.34%,2.1,16006.48,1.52,7.35,1.38%,24351238,8/8/12 8:30
