"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
11,"ADP","Automatic Data Processing, Inc.","Technology","Business Software & Services","USA",28686.87,21.00,18.45,2.24,2.69,4.69,18.17,31.15,2.67%,54.27%,2.82,12.08%,9.56%,9.01%,9.37%,6.46%,9.04%,5.17%,484.33,483.44,0.14%,15.30%,75.88%,0.02%,0.90%,2.35,4.27%,22.90%,18.48%,1.08,,0.00,0.00,38.65%,19.90%,13.02%,1.28%,1.40%,4.89%,9.99%,19.61%,12.07%,0.70,0.61,0.92%,0.95%,1.07%,1.93%,7.75%,-1.13%,4.89%,-1.13%,28.27%,59.37,0.09%,0.00%,2.50,1857.08,0.64,59.28,0.09%,474052,10/30/2012 8:30:00 AM
12,"ADSK","Autodesk, Inc.","Technology","Technical & System Software","USA",7415.09,26.35,14.85,1.70,3.23,3.62,5.18,18.40,,0.00%,1.24,35.09%,13.99%,0.53%,15.46%,3.79%,-7.51%,4.10%,226.90,226.53,0.10%,54.46%,94.99%,-0.06%,2.55%,1.72,9.08%,15.01%,12.48%,2.11,,0.00,0.00,89.74%,16.05%,12.54%,3.84%,-2.71%,1.46%,-21.12%,4.58%,7.75%,2.12,0.74,2.32%,2.29%,-1.48%,-2.26%,-8.44%,-10.91%,16.46%,-24.43%,16.46%,46.57,-0.52%,-0.76%,2.60,3344.67,0.56,32.26,-1.29%,750567,8/23/2012 4:30:00 PM
13,"AEE","Ameren Corporation","Utilities","Diversified Utilities","USA",7929.15,68.08,16.67,,1.11,1.05,67.77,33.18,4.90%,325.73%,0.48,269.21%,-19.34%,-4.18%,-4.05%,1.78%,49.55%,-6.79%,242.63,242.35,0.01%,,60.79%,0.23%,0.71%,1.15,0.52%,1.54%,0.56%,1.34,0.92,0.88,0.91,36.88%,8.92%,1.68%,-0.40%,0.28%,-1.95%,6.31%,12.69%,2.35%,0.57,0.31,0.93%,0.91%,0.32%,-0.26%,2.76%,-4.55%,2.17%,-5.82%,14.23%,51.52,0.24%,0.28%,3.20,1487.00,0.71,32.85,0.52%,423183,11/9/2012 8:30:00 AM
14,"AEP","American Electric Power Co., Inc.","Utilities","Electric Utilities","USA",21607.14,13.34,14.10,3.96,1.45,1.44,36.38,,4.22%,56.13%,3.34,28.71%,2.93%,5.37%,3.37%,3.67%,2.28%,-1.61%,484.90,484.53,0.08%,-4.90%,62.15%,0.12%,1.48%,3.00,3.05%,11.15%,3.45%,0.70,0.47,1.02,1.23,31.12%,18.24%,10.61%,0.29%,2.27%,7.53%,20.04%,21.95%,11.76%,0.49,0.44,1.10%,1.04%,1.85%,3.38%,12.89%,0.42%,8.43%,0.42%,26.09%,67.46,0.92%,0.13%,2.20,2397.26,0.44,45.03,1.05%,427120,10/22/2012
15,"AES","The AES Corporation","Utilities","Electric Utilities","USA",8198.08,18.90,8.50,2.11,0.47,1.34,3.14,22.40,1.46%,0.00%,0.58,-6.46%,5.74%,18.53%,8.95%,8.46%,-62.98%,-5.48%,748.00,746.89,0.08%,25.08%,92.69%,0.04%,0.39%,0.50,2.91%,6.83%,3.89%,1.18,1.06,3.17,3.55,22.24%,11.25%,7.14%,1.67%,-3.86%,-13.08%,-10.53%,6.93%,-7.43%,1.37,0.21,2.09%,1.95%,0.33%,-2.94%,-11.09%,-8.14%,3.99%,-21.84%,7.56%,47.51,0.27%,-0.36%,1.90,5802.62,1.53,10.95,-0.09%,3547172,11/07/2012
16,"AET","Aetna Inc.","Healthcare","Health Care Plans","USA",14681.41,8.66,7.94,0.84,0.42,1.43,15.92,6.98,1.59%,12.93%,5.07,25.01%,8.86%,12.01%,10.35%,6.08%,-4.62%,5.88%,334.20,333.20,0.06%,11.08%,90.38%,-0.03%,3.73%,2.78,4.72%,17.71%,,,,0.46,0.46,,8.85%,5.26%,4.10%,12.73%,13.11%,-7.50%,19.12%,5.83%,1.20,0.83,1.99%,1.89%,6.02%,10.53%,3.59%,-1.58%,19.06%,-13.82%,26.42%,69.27,-1.49%,0.59%,2.10,4472.91,0.84,43.53,-0.91%,1503732,10/25/2012 6:00:00 AM
17,"AFL","AFLAC Inc.","Financial","Accident & Health Insurance","USA",23137.22,9.05,7.15,0.82,0.96,1.63,10.86,1.76,2.67%,23.53%,5.46,-15.55%,5.82%,7.20%,11.07%,8.69%,76.71%,16.00%,468.27,453.98,0.44%,-2.37%,62.03%,0.14%,1.74%,3.01,2.25%,19.96%,,,,0.26,0.26,,16.10%,10.61%,2.81%,0.28%,13.38%,17.17%,28.30%,16.73%,1.83,0.86,1.61%,1.67%,3.88%,5.71%,12.22%,-0.52%,11.80%,-0.52%,32.14%,65.90,0.16%,0.99%,2.40,2631.50,0.89,49.98,1.15%,935809,10/23/2012
18,"AGN","Allergan Inc.","Healthcare","Drug Manufacturers - Other","USA",28947.80,27.60,19.78,2.08,5.16,5.23,10.83,25.49,0.21%,5.77%,3.41,154390.80%,14.15%,12.99%,13.30%,12.09%,20.61%,5.24%,307.53,306.98,0.13%,2.57%,90.49%,-0.03%,1.03%,1.55,12.78%,20.28%,14.46%,4.42,4.15,0.28,0.29,86.11%,27.57%,18.84%,2.19%,5.94%,7.61%,-0.74%,12.09%,7.47%,0.79,1.23,1.29%,1.34%,3.00%,6.81%,5.52%,0.61%,12.56%,-2.02%,21.37%,70.78,0.54%,0.40%,2.00,2037.18,0.53,95.02,0.95%,429836,10/30/2012 8:30:00 AM
19,"AIG","American International Group, Inc.","Financial","Property & Casualty Insurance","USA",53663.14,3.21,10.36,0.22,0.82,0.60,43.56,10.29,,0.00%,11.31,-41.67%,-19.50%,-39.60%,14.73%,-10.74%,29.63%,2.66%,1476.29,352.53,0.02%,37.16%,36.67%,0.66%,4.92%,0.74,3.73%,21.58%,,,,0.71,0.71,,7.37%,33.24%,2.54%,4.60%,14.16%,11.54%,63.44%,56.68%,3.44,0.78,1.78%,2.09%,6.53%,7.49%,19.58%,-0.54%,15.62%,-0.54%,83.92%,67.65,0.19%,0.80%,2.30,23369.90,0.76,36.71,0.99%,7152548,11/1/2012 4:30:00 PM
20,"AIV","Apartment Investment & Management Co.","Financial","REIT - Residential","USA",3778.22,,,,3.45,3.27,12.07,,3.08%,,-1.57,8.40%,21.40%,74.46%,10.23%,-3.26%,15.30%,4.44%,145.54,144.31,0.30%,-62.41%,,0.19%,5.74%,6.02,-1.45%,-34.71%,-1.62%,,,4.44,4.44,59.83%,15.87%,-9.33%,2.08%,-5.39%,-6.48%,1.09%,17.20%,15.79%,1.95,0.42,1.63%,1.69%,-0.07%,-1.71%,0.03%,-7.46%,2.79%,-8.05%,30.78%,48.38,-0.46%,-0.08%,2.60,1376.72,0.94,25.82,-0.54%,518271,8/2/2012 4:30:00 PM
