"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
94,"CINF","Cincinnati Financial Corp.","Financial","Property & Casualty Insurance","USA",6348.03,23.53,23.82,4.71,1.63,1.24,24.14,25.91,4.17%,95.94%,1.66,-55.96%,8.61%,-28.14%,5.00%,-3.53%,165.13%,4.62%,162.52,147.69,0.20%,10.17%,61.67%,-0.02%,4.65%,8.21,1.70%,5.31%,,,,0.16,0.18,,8.66%,6.94%,1.61%,-1.24%,4.66%,16.08%,58.85%,32.50%,0.74,0.49,1.14%,1.28%,2.03%,1.92%,10.62%,-1.85%,4.85%,-1.85%,60.05%,60.01,0.13%,0.36%,3.00,836.41,0.60,39.25,0.49%,200654,10/25/2012 4:30:00 PM
95,"CL","Colgate-Palmolive Co.","Consumer Goods","Personal Products","USA",51490.12,21.50,18.47,2.44,3.02,22.34,47.63,42.69,2.28%,46.06%,5.05,14.59%,9.70%,14.98%,8.81%,6.46%,3.32%,1.96%,474.17,472.80,0.31%,2.80%,74.11%,-0.03%,1.06%,2.81,19.69%,93.00%,28.56%,1.36,0.97,2.20,2.33,57.30%,22.78%,15.27%,1.08%,3.27%,3.76%,11.60%,22.44%,19.75%,0.42,1.26,0.89%,1.08%,2.76%,4.00%,11.73%,1.35%,7.85%,0.65%,30.68%,71.32,1.82%,-0.02%,2.70,1780.43,1.66,110.55,1.80%,1183672,10/25/2012 8:30:00 AM
96,"CLF","Cliffs Natural Resources Inc.","Basic Materials","Steel & Iron","USA",6279.53,4.40,7.38,0.63,0.94,1.00,39.44,37.36,5.67%,14.55%,10.02,54.55%,20.12%,34.90%,6.96%,28.73%,-38.38%,-9.96%,142.49,141.18,0.58%,9.25%,81.45%,-6.77%,19.47%,3.78,11.33%,24.31%,13.71%,1.14,0.50,0.57,0.63,31.51%,26.65%,24.43%,5.81%,4.04%,-2.54%,-35.64%,-24.56%,-27.36%,2.37,2.14,4.29%,4.52%,11.89%,11.66%,-16.54%,-3.82%,39.66%,-41.30%,39.66%,64.37,1.88%,0.32%,2.60,7268.00,1.57,45.04,2.20%,4578476,10/24/2012 4:30:00 PM
97,"CLX","The Clorox Company","Consumer Goods","Housewares & Accessories","USA",9731.80,18.21,16.17,2.24,1.78,,36.45,92.68,3.42%,58.54%,4.11,98.87%,7.93%,4.96%,8.12%,2.44%,5.36%,3.98%,130.00,129.50,0.22%,11.72%,69.08%,0.03%,3.79%,6.24,12.75%,,21.33%,0.67,0.48,,,42.14%,14.47%,9.93%,1.22%,6.79%,3.13%,8.23%,15.35%,15.45%,0.37,0.87,1.01%,1.24%,3.32%,4.05%,8.10%,0.44%,8.08%,0.44%,22.57%,71.81,0.40%,0.19%,2.90,786.43,0.74,75.30,0.59%,232429,10/31/2012 8:30:00 AM
98,"CMA","Comerica Incorporated","Financial","Regional - Midwest Banks","USA",6006.24,13.04,11.45,1.66,3.17,0.86,5.58,8.23,1.93%,19.22%,2.38,165.84%,1.12%,-15.42%,7.86%,-11.97%,37.15%,9.05%,193.50,192.96,0.15%,-0.80%,85.02%,-2.18%,4.30%,4.18,0.80%,7.09%,,,,0.67,0.69,,24.64%,18.39%,-1.27%,-4.23%,-1.37%,-0.45%,29.01%,21.92%,1.20,0.59,1.44%,1.69%,-3.42%,-3.17%,-0.48%,-9.53%,0.59%,-10.28%,35.39%,37.56,-2.14%,-0.58%,2.80,1987.15,3.38,30.20,-2.71%,2690686,10/17/2012 8:30:00 AM
99,"CMCSA","Comcast Corporation","Services","CATV Systems","USA",98122.68,21.07,16.74,1.38,1.65,2.06,22.65,13.29,1.77%,30.48%,1.74,16.17%,14.06%,16.33%,15.31%,17.47%,35.39%,6.13%,2675.83,2650.49,0.08%,-10.46%,84.46%,0.07%,1.20%,2.52,3.73%,10.10%,4.64%,0.72,,0.72,0.78,32.25%,19.13%,9.80%,3.82%,5.07%,13.74%,24.01%,59.71%,57.04%,1.10,0.60,1.62%,1.74%,3.58%,6.61%,21.63%,0.32%,11.51%,0.32%,81.13%,66.54,0.79%,0.38%,2.00,12554.80,0.96,37.10,1.17%,4830651,10/26/2012 8:30:00 AM
100,"CME","CME Group Inc.","Financial","Investment Brokerage - National","USA",19104.50,12.13,16.29,1.12,6.01,0.88,14.30,31.78,3.13%,43.33%,4.74,89.73%,12.78%,18.54%,10.87%,24.65%,-15.94%,-5.06%,332.31,313.41,0.53%,9.31%,70.49%,0.01%,2.75%,4.08,4.30%,7.40%,5.08%,1.24,,0.10,0.10,96.96%,59.19%,49.71%,0.91%,-2.09%,9.90%,4.99%,18.34%,22.27%,1.11,0.95,1.41%,1.62%,0.32%,2.90%,7.63%,-4.22%,11.34%,-4.22%,32.55%,57.99,0.70%,-0.73%,2.50,2111.26,0.31,57.47,-0.03%,265964,10/25/2012 8:30:00 AM
101,"CMG","Chipotle Mexican Grill, Inc.","Services","Restaurants","USA",9247.39,35.47,26.80,1.63,3.67,7.33,17.46,41.38,,0.00%,8.23,19.94%,20.87%,39.60%,21.78%,22.49%,60.29%,20.89%,31.68,14.56,0.43%,-6.84%,93.01%,-4.35%,22.61%,3.23,18.01%,23.84%,19.83%,4.13,4.06,0.00,0.00,27.39%,16.98%,10.41%,1.80%,-15.84%,-26.67%,-33.37%,-8.72%,-13.57%,0.88,10.36,2.84%,3.26%,-5.12%,-4.92%,-20.52%,-17.07%,4.95%,-34.05%,5.23%,39.22,1.20%,-1.23%,2.60,1019.50,0.63,291.76,-0.05%,258902,10/18/2012 4:00:00 PM
102,"CMI","Cummins Inc.","Industrial Goods","Diversified Machinery","USA",17399.67,9.08,9.59,0.63,0.94,2.85,12.38,25.97,2.19%,15.85%,10.06,80.95%,8.67%,21.88%,14.50%,9.70%,-5.03%,-4.07%,190.41,189.66,0.26%,-5.71%,83.84%,-0.19%,2.18%,1.68,17.15%,34.17%,25.98%,2.03,1.31,0.11,0.13,26.19%,14.51%,10.90%,0.59%,-8.59%,4.89%,-21.08%,0.53%,5.07%,2.01,2.38,2.87%,2.21%,-0.22%,-4.89%,-10.95%,-13.04%,6.96%,-28.45%,12.30%,45.45,0.50%,0.02%,2.40,2460.22,0.67,91.86,0.53%,661217,7/31/2012 8:30:00 AM
103,"CMS","CMS Energy Corp.","Utilities","Electric Utilities","USA",6317.36,18.63,14.54,3.08,1.03,2.02,33.78,,4.03%,67.65%,1.28,14.28%,5.81%,16.23%,6.05%,0.91%,-2.35%,-2.27%,264.99,263.64,0.87%,-1.71%,83.56%,0.06%,3.19%,4.10,2.12%,11.20%,2.43%,1.22,0.64,2.05,2.26,27.69%,15.21%,5.55%,-0.08%,3.92%,-1.77%,10.27%,22.01%,11.40%,0.48,0.25,0.92%,1.07%,2.03%,2.74%,6.83%,-0.99%,6.37%,-2.79%,26.75%,62.65,0.75%,0.13%,2.10,2054.53,0.46,24.05,0.88%,380479,10/25/2012 8:30:00 AM
104,"CNP","CenterPoint Energy, Inc.","Utilities","Diversified Utilities","USA",9163.24,11.85,16.88,2.15,1.20,2.12,5.84,64.53,3.78%,43.99%,1.81,67.73%,7.63%,6.19%,5.51%,-1.94%,5.55%,-16.98%,427.39,425.39,0.31%,-1.49%,71.14%,-0.63%,1.22%,1.75,3.68%,20.30%,4.24%,0.92,0.84,1.98,2.36,,16.65%,10.16%,0.37%,3.08%,3.33%,13.20%,8.89%,10.06%,0.61,0.25,1.15%,1.22%,1.49%,3.30%,9.23%,-0.55%,7.20%,-0.55%,23.17%,64.25,0.37%,0.33%,2.40,2971.94,1.01,21.59,0.70%,1201333,11/7/2012 8:30:00 AM
105,"CNX","CONSOL Energy Inc.","Basic Materials","Industrial Metals & Minerals","USA",7919.25,13.03,22.89,0.48,1.33,2.05,39.55,,1.44%,17.60%,2.67,72.86%,2.01%,4.63%,27.00%,10.49%,97.28%,-8.40%,227.63,226.44,0.40%,4.59%,,-0.11%,9.42%,5.94,4.94%,17.29%,5.57%,1.32,1.08,0.82,0.83,31.86%,12.92%,10.31%,5.07%,8.08%,13.80%,2.53%,-11.14%,-4.16%,1.41,1.28,4.01%,3.71%,11.23%,11.13%,9.04%,-1.32%,23.93%,-23.86%,33.90%,65.41,0.63%,0.60%,2.00,3589.72,0.72,35.22,1.24%,1031171,7/26/2012 7:00:00 AM
106,"COF","Capital One Financial Corp.","Financial","Credit Services","USA",33703.81,9.72,8.33,1.00,2.09,0.91,12.64,5.88,0.34%,3.33%,5.97,5.18%,17.17%,-1.69%,9.70%,12.92%,-83.89%,24.79%,581.00,577.25,0.12%,-98.73%,89.34%,-0.06%,1.10%,1.44,1.20%,8.93%,,,,0.93,0.96,,21.44%,16.35%,-1.11%,-1.28%,5.78%,7.11%,44.63%,37.56%,1.75,1.11,1.73%,1.79%,0.47%,1.70%,9.28%,-3.13%,6.17%,-3.13%,49.25%,52.04,-0.48%,0.76%,1.90,4442.14,0.54,58.17,0.28%,958326,10/18/2012 4:30:00 PM
107,"COG","Cabot Oil & Gas Corporation","Basic Materials","Independent Oil & Gas","USA",9575.54,87.69,50.11,3.85,8.97,4.49,196.87,,0.18%,13.38%,0.52,18.19%,89.58%,-18.63%,22.75%,5.16%,-34.42%,10.37%,209.99,207.10,1.05%,-1.78%,98.70%,-0.10%,2.46%,1.89,2.52%,5.33%,2.72%,0.87,0.83,0.46,0.46,71.72%,27.02%,10.22%,3.28%,1.15%,14.31%,49.56%,32.60%,20.35%,1.10,1.24,2.36%,2.36%,2.88%,5.41%,23.19%,-3.26%,13.42%,-3.26%,58.66%,60.26,-0.44%,0.68%,2.00,2693.91,0.72,45.71,0.24%,779402,10/25/2012
108,"COH","Coach, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",15957.46,15.92,12.69,1.09,3.35,8.05,17.40,20.53,2.13%,26.99%,3.53,20.93%,15.06%,15.93%,14.61%,12.76%,27.13%,11.97%,283.89,282.44,0.87%,4.22%,93.00%,0.45%,5.29%,2.70,36.20%,57.63%,46.92%,2.51,1.81,0.00,0.01,72.77%,31.74%,21.81%,2.24%,-9.46%,-2.57%,-24.66%,-5.56%,-6.74%,1.59,1.72,3.14%,3.01%,2.14%,0.17%,-12.01%,-10.07%,7.77%,-27.95%,18.50%,53.25,0.85%,0.32%,2.10,5540.23,0.73,56.87,1.17%,1611179,10/22/2012
109,"COL","Rockwell Collins Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",7755.70,13.24,12.21,1.61,1.63,6.10,29.27,25.85,2.20%,24.32%,4.12,12.61%,5.42%,7.58%,8.22%,4.47%,13.68%,1.26%,142.15,141.74,0.23%,10.10%,74.46%,0.10%,5.27%,7.32,11.99%,41.84%,16.79%,1.85,0.94,0.61,0.77,29.16%,18.00%,12.93%,1.96%,3.51%,12.24%,-5.90%,3.47%,0.09%,1.18,0.93,1.27%,1.69%,2.17%,5.78%,2.41%,-0.57%,13.46%,-9.84%,18.34%,61.37,0.06%,-0.07%,2.40,1020.45,0.56,54.55,-0.02%,227084,10/26/2012 8:30:00 AM
110,"COP","ConocoPhillips","Basic Materials","Major Integrated Oil & Gas","USA",69982.37,11.12,9.88,,1.08,1.52,67.03,,4.58%,49.73%,5.18,17.70%,3.55%,-1.48%,-2.00%,5.91%,-14.80%,-14.16%,1214.55,1212.26,0.16%,0.52%,68.22%,-0.20%,1.93%,3.59,4.99%,11.65%,6.06%,0.92,0.86,0.41,0.50,44.47%,23.96%,10.55%,0.86%,-0.02%,3.89%,6.90%,15.70%,8.49%,1.14,0.76,1.41%,1.24%,2.57%,3.22%,7.32%,-0.02%,7.40%,-0.02%,20.79%,62.72,1.29%,-0.26%,2.80,6511.74,0.69,58.21,1.02%,1798402,10/25/2012 8:00:00 AM
111,"COST","Costco Wholesale Corporation","Services","Discount, Variety Stores","USA",41936.98,24.94,19.40,1.90,0.42,3.39,8.64,,1.13%,26.12%,3.89,17.80%,11.36%,10.42%,13.12%,9.01%,28.91%,14.34%,432.34,428.21,0.53%,21.79%,77.33%,-0.35%,1.17%,2.74,6.56%,14.03%,12.24%,1.10,0.52,0.11,0.11,12.42%,2.78%,1.78%,-2.65%,-5.13%,1.38%,10.82%,19.18%,17.48%,0.69,1.71,2.41%,1.55%,-3.49%,-1.97%,7.37%,-7.25%,2.62%,-7.25%,24.02%,39.58,-0.30%,0.15%,2.40,1830.11,1.85,96.86,-0.14%,1355591,10/10/2012
112,"COV","Covidien plc","Healthcare","Medical Instruments & Supplies","Ireland",28100.25,15.05,13.24,1.47,2.36,2.62,14.52,23.13,1.78%,22.81%,3.89,22.17%,4.25%,5.66%,10.23%,6.84%,-12.40%,2.77%,480.10,479.46,0.17%,3.82%,89.71%,-2.46%,0.73%,1.46,8.86%,18.12%,10.06%,2.41,1.75,0.43,0.47,57.72%,20.53%,15.91%,1.16%,-0.81%,10.96%,9.36%,33.02%,32.33%,0.84,0.82,1.33%,1.31%,-1.52%,0.96%,8.85%,-4.04%,7.29%,-4.04%,41.82%,47.43,-0.84%,0.10%,1.80,2394.73,0.48,58.10,-0.73%,457727,11/9/2012 8:30:00 AM
113,"CPB","Campbell Soup Co.","Consumer Goods","Processed & Packaged Goods","USA",10973.90,14.52,13.01,2.93,1.42,12.87,32.76,25.88,3.31%,48.76%,2.41,-0.36%,5.91%,3.81%,4.96%,0.86%,29.68%,0.37%,313.54,176.40,0.60%,-21.66%,43.60%,0.14%,11.98%,10.80,11.41%,77.44%,16.39%,0.86,0.51,2.23,3.11,38.82%,15.73%,9.91%,-0.28%,1.92%,6.09%,5.74%,9.44%,8.02%,0.30,0.39,1.33%,1.14%,1.12%,2.05%,7.69%,-1.99%,9.61%,-1.99%,16.88%,60.41,0.47%,0.29%,3.10,1956.29,0.55,35.26,0.76%,430130,11/20/2012
114,"CRM","Salesforce.com","Technology","Application Software","USA",21608.94,,78.12,,8.18,11.42,19.51,39.44,,,-0.27,-118.12%,32.67%,61.77%,27.85%,35.45%,-123.17%,34.00%,139.00,127.61,0.58%,-18.25%,,-0.14%,9.97%,5.55,-0.94%,-2.24%,-1.99%,0.80,,0.00,0.27,78.10%,-1.98%,-1.40%,2.18%,-1.71%,15.24%,-2.00%,22.68%,53.22%,1.39,3.75,2.03%,2.46%,-0.09%,2.55%,9.81%,-5.13%,15.41%,-6.77%,63.25%,51.27,-0.87%,-0.33%,2.10,2290.37,0.51,153.60,-1.20%,468013,11/20/2012
115,"CSC","Computer Sciences Corporation","Technology","Information Technology Services","USA",5007.84,,11.27,,0.32,1.87,5.01,10.72,2.48%,,-28.29,-707.17%,29.41%,-1.61%,8.75%,1.34%,-78.21%,-1.88%,155.33,154.79,0.17%,83.30%,89.61%,0.01%,4.06%,3.77,-31.95%,-84.44%,-46.98%,1.09,,0.55,1.01,6.32%,-27.68%,-27.66%,3.07%,-5.68%,35.98%,17.41%,12.10%,38.91%,1.23,0.61,1.44%,1.77%,1.50%,1.33%,15.74%,-6.30%,29.88%,-6.30%,47.61%,55.08,0.96%,0.00%,2.90,1669.53,0.23,32.55,0.96%,153404,11/6/2012 8:30:00 AM
116,"CSCO","Cisco Systems, Inc.","Technology","Networking & Communication Devices","USA",99951.18,12.65,8.98,1.46,2.17,1.95,2.05,11.28,2.97%,18.67%,1.49,27.54%,7.14%,4.92%,8.68%,5.69%,59.73%,4.42%,5302.45,5296.22,0.16%,8.99%,71.40%,-0.04%,1.02%,1.34,8.99%,16.32%,11.20%,3.49,3.40,0.32,0.32,61.24%,21.82%,17.46%,0.27%,-0.89%,13.69%,-4.89%,11.94%,6.26%,1.25,0.33,1.82%,1.69%,-0.08%,0.29%,1.89%,-4.54%,12.15%,-10.77%,25.97%,49.33,0.75%,-1.49%,2.20,40532.48,0.74,18.71,-0.74%,11960434,11/13/2012 4:30:00 PM
117,"CSX","CSX Corp.","Services","Railroads","USA",22494.98,12.15,10.76,1.38,1.89,2.54,32.94,224.95,2.59%,27.75%,1.78,23.48%,12.29%,12.22%,8.81%,4.19%,7.59%,-0.23%,1039.99,1035.68,0.27%,-12.47%,68.85%,-0.44%,1.07%,1.60,6.46%,21.13%,7.07%,0.92,0.82,0.97,1.02,63.77%,29.58%,15.83%,1.98%,-7.01%,-3.82%,-1.37%,8.69%,4.59%,1.24,0.41,1.56%,1.86%,-0.25%,-4.07%,-2.54%,-9.07%,2.81%,-9.07%,8.81%,42.72,1.10%,-2.91%,2.00,6933.23,4.43,21.23,-1.85%,12322863,10/16/2012 4:30:00 PM
118,"CTAS","Cintas Corporation","Services","Apparel Stores","USA",5267.03,17.87,15.01,1.69,1.27,2.45,15.95,15.30,1.28%,,2.36,35.59%,10.20%,1.72%,10.60%,2.05%,16.18%,3.36%,124.90,89.15,1.21%,6.33%,73.10%,0.13%,5.99%,7.55,7.38%,14.24%,8.40%,3.97,3.34,0.61,0.61,42.20%,13.31%,7.39%,-0.80%,2.30%,11.24%,7.03%,48.91%,21.14%,0.93,0.61,1.26%,1.51%,1.42%,2.48%,8.52%,-0.94%,5.85%,-0.94%,53.29%,58.63,0.09%,0.31%,2.80,707.20,0.75,42.34,0.40%,213393,9/20/2012 4:30:00 PM
119,"CTL","CenturyLink, Inc.","Technology","Telecom Services - Domestic","USA",24245.99,46.36,15.51,8.02,1.31,1.19,86.28,96.21,7.45%,345.59%,0.84,-65.90%,-1.57%,-18.95%,5.78%,44.37%,-38.73%,4.68%,622.65,621.47,0.36%,-13.17%,72.72%,0.02%,4.50%,4.99,0.95%,2.49%,1.05%,0.74,,0.97,1.06,55.92%,11.91%,2.83%,-1.39%,-7.46%,-2.84%,5.10%,22.11%,10.50%,0.69,0.62,1.62%,1.56%,-1.94%,-4.00%,3.01%,-8.31%,2.70%,-8.31%,24.86%,41.34,1.15%,0.28%,1.90,5605.88,0.60,39.50,1.44%,1356832,11/7/2012 4:30:00 PM
120,"CTSH","Cognizant Technology Solutions Corporation","Technology","Business Software & Services","USA",20974.54,22.52,17.61,1.13,3.10,5.14,8.94,29.84,,0.00%,3.12,19.99%,17.70%,29.79%,19.90%,33.86%,22.73%,20.87%,298.57,297.15,0.45%,8.04%,93.14%,-0.24%,0.90%,1.12,18.22%,23.94%,22.57%,3.61,,0.00,0.00,42.24%,18.48%,14.22%,0.40%,1.74%,18.45%,-3.33%,-1.53%,9.24%,1.23,1.22,1.62%,1.52%,-0.17%,3.59%,4.38%,-4.19%,10.22%,-10.67%,29.23%,53.70,-0.24%,-0.57%,1.90,2387.77,1.55,69.68,-0.81%,1482969,11/7/2012 8:30:00 AM
121,"CTXS","Citrix Systems, Inc.","Technology","Business Software & Services","USA",12835.49,35.94,21.52,2.23,5.37,4.38,9.89,20.26,,0.00%,1.91,28.40%,13.93%,13.90%,16.14%,14.23%,13.55%,15.90%,186.97,186.15,0.55%,-8.86%,94.06%,-0.10%,1.43%,1.13,8.81%,12.91%,11.99%,1.65,1.65,0.00,0.00,85.91%,16.88%,15.11%,0.75%,-15.47%,-15.76%,-12.19%,10.35%,13.06%,1.35,2.30,3.86%,3.12%,-9.13%,-12.13%,-11.45%,-18.95%,1.09%,-23.91%,17.90%,28.93,-1.90%,-0.58%,2.30,2351.91,1.95,66.96,-2.47%,1836404,10/24/2012 4:30:00 PM
122,"CVC","Cablevision Systems Corporation","Services","CATV Systems","USA",4803.89,22.15,18.27,1.77,0.72,,7.05,42.39,3.39%,74.22%,0.80,21.89%,18.29%,15.17%,12.52%,2.83%,-1.86%,0.51%,271.10,216.04,0.39%,7.09%,87.54%,-2.14%,5.85%,3.92,3.16%,,4.22%,0.81,,,,54.14%,15.44%,3.29%,5.60%,5.35%,33.74%,31.85%,7.39%,28.78%,1.49,0.47,2.99%,2.64%,6.45%,10.72%,25.28%,-1.78%,20.73%,-1.78%,65.54%,67.99,-0.51%,0.11%,2.70,3225.44,1.08,17.65,-0.40%,1401483,10/22/2012
123,"CVH","Coventry Health Care Inc.","Healthcare","Health Care Plans","USA",5856.38,13.30,13.26,1.77,0.44,1.30,3.46,9.33,1.14%,7.45%,3.29,24.53%,20.00%,1.30%,7.53%,9.52%,-56.70%,15.98%,133.86,132.60,0.34%,-11.65%,94.08%,-0.20%,0.76%,0.37,5.30%,10.38%,7.25%,1.29,,0.35,0.35,22.16%,5.73%,3.54%,2.29%,5.29%,35.20%,33.63%,51.44%,45.59%,1.80,0.36,0.88%,0.81%,2.76%,8.06%,28.94%,-0.77%,36.04%,-0.77%,60.11%,72.29,-0.62%,0.18%,2.90,2716.99,0.33,43.56,-0.43%,360409,10/26/2012 8:30:00 AM
124,"CVS","CVS Caremark Corporation","Services","Drug Stores","USA",59668.06,16.57,12.37,1.31,0.51,1.57,32.64,14.67,1.39%,19.99%,2.83,4.23%,12.46%,10.14%,12.69%,19.57%,25.90%,16.28%,1272.24,1269.01,0.13%,4.42%,87.18%,-1.20%,1.87%,3.38,5.66%,9.75%,6.99%,1.47,0.68,0.24,0.25,18.28%,5.71%,3.18%,-2.33%,0.00%,-3.20%,8.34%,36.77%,16.26%,0.74,0.64,1.36%,1.33%,-2.86%,0.13%,3.83%,-5.22%,6.90%,-5.22%,37.62%,37.94,-0.98%,0.47%,1.90,7008.55,1.28,46.66,-0.51%,3586044,11/06/2012
125,"CVX","Chevron Corporation","Basic Materials","Major Integrated Oil & Gas","USA",223860.55,8.50,9.04,5.94,0.90,1.72,10.43,41.79,3.16%,24.49%,13.43,41.78%,-1.79%,11.50%,1.43%,3.84%,-4.81%,-9.20%,1962.14,1961.79,0.01%,18.05%,63.90%,-0.02%,0.95%,3.15,12.70%,21.68%,15.23%,1.72,1.50,0.08,0.08,33.23%,19.27%,10.79%,-2.79%,-2.60%,6.61%,12.24%,19.52%,9.89%,0.80,1.65,1.59%,1.19%,-0.91%,0.74%,8.23%,-2.92%,4.23%,-2.92%,27.78%,49.73,0.45%,0.40%,2.10,5933.48,0.66,115.07,0.86%,1561505,11/2/2012 8:30:00 AM
126,"D","Dominion Resources, Inc.","Utilities","Electric Utilities","USA",30095.19,22.13,15.40,3.88,2.23,2.49,185.77,,4.01%,85.55%,2.38,-51.20%,8.57%,2.41%,5.70%,-3.60%,-18.77%,-7.15%,571.50,567.91,0.27%,1.98%,55.53%,0.08%,0.58%,1.85,3.09%,11.55%,3.58%,0.69,0.51,1.40,1.70,32.71%,20.03%,10.27%,-0.30%,0.10%,-2.19%,6.13%,9.57%,2.25%,0.46,0.58,0.98%,1.06%,0.23%,0.08%,3.19%,-2.11%,1.71%,-3.69%,12.54%,50.36,0.45%,0.27%,2.80,1788.74,0.44,53.04,0.72%,312590,10/25/2012 8:30:00 AM
127,"DD","E. I. du Pont de Nemours and Company","Basic Materials","Chemicals - Major Diversified","USA",46276.61,13.48,11.41,1.70,1.14,4.37,13.01,34.87,3.46%,44.54%,3.69,12.30%,10.66%,1.73%,7.93%,5.96%,-3.09%,7.53%,930.37,929.72,0.14%,-0.76%,64.89%,0.00%,2.85%,5.43,7.21%,31.53%,9.50%,1.62,1.13,1.07,1.42,26.98%,11.22%,8.66%,0.48%,-3.77%,2.54%,-5.04%,17.48%,11.37%,1.47,0.78,1.39%,1.41%,-0.81%,-1.03%,-0.18%,-4.94%,2.57%,-6.29%,19.20%,47.14,-0.33%,0.34%,2.40,4875.30,0.74,49.74,0.01%,1445005,10/23/2012
128,"DE","Deere & Company","Industrial Goods","Farm & Construction Machinery","USA",33119.61,11.26,10.24,1.27,0.95,4.48,9.75,,2.18%,22.92%,7.51,52.34%,6.31%,16.55%,8.85%,7.65%,17.08%,14.55%,391.67,391.34,0.03%,-0.16%,70.68%,-0.09%,3.02%,2.84,6.08%,40.82%,9.46%,,,2.86,4.22,25.54%,13.35%,8.72%,3.46%,4.97%,12.40%,5.70%,24.32%,11.23%,1.52,1.33,1.51%,1.53%,3.97%,8.09%,8.06%,1.09%,17.65%,-2.95%,29.10%,70.62,0.78%,0.40%,2.40,4167.47,0.81,85.56,1.18%,1358889,11/21/2012
129,"DELL","Dell Inc.","Technology","Personal Computers","USA",17172.54,5.86,5.53,1.79,0.28,1.76,1.44,6.74,3.23%,0.00%,1.69,39.82%,2.29%,10.63%,3.28%,1.57%,-12.22%,-7.50%,1734.60,1487.07,0.13%,9.20%,70.06%,-0.28%,3.19%,2.44,7.06%,33.45%,13.50%,1.32,1.24,0.60,0.87,21.66%,6.30%,5.01%,3.56%,-6.69%,-17.29%,-38.24%,-37.50%,-31.77%,1.39,0.25,2.99%,2.66%,-0.37%,-8.36%,-29.42%,-22.67%,4.98%,-46.21%,4.98%,40.36,-0.05%,-1.01%,2.30,19442.81,1.03,9.80,-1.06%,8000422,11/15/2012
130,"DF","Dean Foods Company","Consumer Goods","Dairy Products","USA",2774.88,,11.66,,0.21,,45.96,13.47,0.66%,,-7.94,-1920.99%,5.74%,-4.89%,19.00%,5.27%,214.86%,-5.25%,184.50,179.67,2.29%,3.94%,84.82%,0.29%,2.43%,0.98,-21.96%,-192.33%,-27.99%,1.13,0.79,,,23.77%,-12.43%,-11.26%,0.07%,-9.07%,15.87%,26.71%,58.32%,34.29%,0.75,0.46,2.71%,2.99%,9.59%,6.75%,24.65%,-2.29%,40.39%,-2.29%,86.68%,65.77,6.67%,6.58%,2.60,4457.09,4.05,17.10,13.70%,7239921,8/8/2012 8:30:00 AM
131,"DFS","Discover Financial Services","Financial","Credit Services","USA",20216.44,9.27,9.34,0.87,3.06,2.22,3.24,7.58,1.00%,8.41%,4.32,233.36%,-4.45%,11.33%,10.67%,23.49%,2.60%,6.00%,504.78,502.54,0.99%,-2.91%,88.37%,-0.03%,0.66%,0.84,3.30%,26.63%,,,,2.10,2.13,,49.73%,30.92%,0.70%,3.68%,14.17%,23.34%,77.29%,68.28%,1.47,0.82,2.00%,2.14%,3.65%,5.80%,22.01%,-0.39%,12.26%,-0.39%,87.23%,62.37,0.62%,0.87%,2.00,3910.80,0.97,40.65,1.50%,1515293,9/27/2012 8:30:00 AM
132,"DGX","Quest Diagnostics Inc.","Healthcare","Medical Laboratories & Research","USA",10059.99,14.53,12.72,1.28,1.32,2.51,57.90,11.96,1.07%,13.93%,4.36,-27.79%,9.21%,-1.35%,11.39%,3.68%,8.47%,0.19%,158.75,158.16,0.48%,7.02%,93.24%,0.16%,3.15%,6.59,7.82%,18.73%,9.53%,1.12,1.05,0.85,0.96,42.16%,16.80%,9.65%,-0.33%,2.69%,0.76%,7.64%,33.19%,10.38%,0.64,0.87,1.50%,1.33%,-4.66%,-1.97%,2.65%,-6.80%,2.75%,-6.80%,27.39%,35.89,-2.14%,-2.51%,2.90,755.37,5.09,60.46,-4.59%,1541847,10/17/2012 8:30:00 AM
